"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"May 31, 2020 @ 23:56:56.000","2020-05-31T23:56:56Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,22,
"May 31, 2020 @ 23:47:58.000","2020-05-31T23:48:00Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,29,30,"3.842"
"May 31, 2020 @ 23:47:41.000","2020-05-31T23:47:45Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,,,
"May 31, 2020 @ 23:47:25.000","2020-05-31T23:47:21Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,1,2,2,,,
"May 31, 2020 @ 23:42:50.000","2020-05-31T23:42:50Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"May 31, 2020 @ 23:42:31.000","2020-05-31T23:42:31Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,3,5,6,,,
"May 31, 2020 @ 23:42:21.000","2020-05-31T23:42:21Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:42:20.000","2020-05-31T23:42:20Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:42:14.000","2020-05-31T23:42:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:42:10.000","2020-05-31T23:42:10Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:42:07.000","2020-05-31T23:42:07Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:42:06.000","2020-05-31T23:42:06Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"May 31, 2020 @ 23:32:23.000","2020-05-31T23:32:21Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,24,29,
"May 31, 2020 @ 23:26:56.000","2020-05-31T23:26:56Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,26,
"May 31, 2020 @ 23:25:52.000","2020-05-31T23:25:52Z","safecast:2651380949","Solarcast #33009",2651380949,"37.408","141.015",,,,,,,"1,406",
"May 31, 2020 @ 23:17:58.000","2020-05-31T23:18:00Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,27,31,"3.843"
"May 31, 2020 @ 23:17:42.000","2020-05-31T23:17:45Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,,,
"May 31, 2020 @ 23:17:25.000","2020-05-31T23:17:21Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,1,2,2,,,
"May 31, 2020 @ 23:12:33.000","2020-05-31T23:12:33Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"May 31, 2020 @ 23:12:22.000","2020-05-31T23:12:22Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,3,5,5,,,
"May 31, 2020 @ 23:11:56.000","2020-05-31T23:11:56Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,22,
"May 31, 2020 @ 23:02:23.000","2020-05-31T23:02:21Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,27,28,
"May 31, 2020 @ 22:56:56.000","2020-05-31T22:56:56Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,24,
"May 31, 2020 @ 22:53:43.000","2020-05-31T22:53:43Z","safecast:2299238163","Solarcast #30017",2299238163,"34.112","-118.255","45.599","-23.932",0,1,1,32,33,
"May 31, 2020 @ 22:48:55.000","2020-05-31T22:48:55Z","safecast:3856112813","Solarcast #30001",3856112813,"47.612","-122.345","19.219","56.328",1,2,3,0,0,"3.882"
"May 31, 2020 @ 22:47:58.000","2020-05-31T22:48:00Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,30,30,"3.845"
"May 31, 2020 @ 22:47:42.000","2020-05-31T22:47:45Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,,,,,,
"May 31, 2020 @ 22:47:25.000","2020-05-31T22:47:21Z","safecast:678194983","Solarcast #30030",678194983,"46.554","15.636",,,2,2,2,,,
"May 31, 2020 @ 22:43:35.000","2020-05-31T22:43:35Z","safecast:2670856639","Solarcast #30014",2670856639,"34.452","-119.822",,,,,,33,50,
"May 31, 2020 @ 22:42:33.000","2020-05-31T22:42:33Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"May 31, 2020 @ 22:42:22.000","2020-05-31T22:42:22Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,3,4,5,,,
"May 31, 2020 @ 22:42:07.000","2020-05-31T22:42:07Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,19,22,
