"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"Jul 5, 2020 @ 14:47:55.000","2020-07-05T14:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,30,
"Jul 5, 2020 @ 14:47:39.000","2020-07-05T14:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 14:46:52.000","2020-07-05T14:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,5,,,
"Jul 5, 2020 @ 14:41:40.000","2020-07-05T14:41:40Z","safecast:2670856639","Solarcast #30014",2670856639,"34.452","-119.822",,,,,,37,47,"3.724"
"Jul 5, 2020 @ 14:40:29.000","2020-07-05T14:40:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 14:40:12.000","2020-07-05T14:40:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,1,2,2,,,
"Jul 5, 2020 @ 14:37:58.000","2020-07-05T14:37:59Z","safecast:3937710776","Solarcast #33002",3937710776,"46.314","-119.345",,,,,,,0,
"Jul 5, 2020 @ 14:37:41.000","2020-07-05T14:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,30,33,"3.916"
"Jul 5, 2020 @ 14:37:24.000","2020-07-05T14:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 14:37:07.000","2020-07-05T14:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,5,,,
"Jul 5, 2020 @ 14:27:25.000","2020-07-05T14:27:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,26,
"Jul 5, 2020 @ 14:27:09.000","2020-07-05T14:27:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 14:26:52.000","2020-07-05T14:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,4,4,,,
"Jul 5, 2020 @ 14:25:04.000","2020-07-05T14:25:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,28,
"Jul 5, 2020 @ 14:17:55.000","2020-07-05T14:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,30,29,
"Jul 5, 2020 @ 14:17:39.000","2020-07-05T14:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 14:16:52.000","2020-07-05T14:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 14:10:30.000","2020-07-05T14:10:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 14:10:13.000","2020-07-05T14:10:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,6,8,9,,,
"Jul 5, 2020 @ 14:10:04.000","2020-07-05T14:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,26,
"Jul 5, 2020 @ 14:07:41.000","2020-07-05T14:07:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,28,"3.922"
"Jul 5, 2020 @ 14:07:24.000","2020-07-05T14:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 14:07:07.000","2020-07-05T14:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,3,4,,,
"Jul 5, 2020 @ 13:57:59.000","2020-07-05T13:57:59Z","safecast:2299238163","Solarcast #30017",2299238163,"34.112","-118.255",,,,,,,,"3.776"
"Jul 5, 2020 @ 13:57:25.000","2020-07-05T13:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,30,
"Jul 5, 2020 @ 13:57:09.000","2020-07-05T13:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:56:52.000","2020-07-05T13:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,3,3,,,
"Jul 5, 2020 @ 13:55:42.000","2020-07-05T13:55:42Z","safecast:872300871","Solarcast #30013",872300871,"34.165","-118.135",,,,,,32,39,"3.577"
"Jul 5, 2020 @ 13:55:04.000","2020-07-05T13:55:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,27,
"Jul 5, 2020 @ 13:50:26.000","2020-07-05T13:50:26Z","safecast:3856112813","Solarcast #30001",3856112813,"47.612","-122.345","14.781","75.012",24,35,41,9,9,"3.89"
"Jul 5, 2020 @ 13:47:55.000","2020-07-05T13:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,27,
"Jul 5, 2020 @ 13:47:39.000","2020-07-05T13:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:46:52.000","2020-07-05T13:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 13:40:29.000","2020-07-05T13:40:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 13:40:15.000","2020-07-05T13:40:15Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,6,9,9,,,
"Jul 5, 2020 @ 13:40:11.000","2020-07-05T13:40:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,29,
"Jul 5, 2020 @ 13:37:41.000","2020-07-05T13:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,34,"3.928"
"Jul 5, 2020 @ 13:37:24.000","2020-07-05T13:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:37:07.000","2020-07-05T13:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 13:32:20.000","2020-07-05T13:32:20Z","safecast:114699387","Solarcast #30023",114699387,"34.134","-118.382",,,,,,30,35,"3.595"
"Jul 5, 2020 @ 13:27:25.000","2020-07-05T13:27:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,27,
"Jul 5, 2020 @ 13:27:09.000","2020-07-05T13:27:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:26:52.000","2020-07-05T13:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,3,3,,,
"Jul 5, 2020 @ 13:25:08.000","2020-07-05T13:25:08Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,28,
"Jul 5, 2020 @ 13:17:55.000","2020-07-05T13:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,34,
"Jul 5, 2020 @ 13:17:39.000","2020-07-05T13:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:16:52.000","2020-07-05T13:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 13:10:29.000","2020-07-05T13:10:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 13:10:13.000","2020-07-05T13:10:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,5,6,8,,,
"Jul 5, 2020 @ 13:10:05.000","2020-07-05T13:10:05Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,26,
"Jul 5, 2020 @ 13:10:04.000","2020-07-05T13:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,26,
"Jul 5, 2020 @ 13:07:41.000","2020-07-05T13:07:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,31,"3.982"
"Jul 5, 2020 @ 13:07:24.000","2020-07-05T13:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 13:07:07.000","2020-07-05T13:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 12:57:25.000","2020-07-05T12:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,31,
"Jul 5, 2020 @ 12:57:09.000","2020-07-05T12:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:56:52.000","2020-07-05T12:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,3,3,,,
"Jul 5, 2020 @ 12:55:04.000","2020-07-05T12:55:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,23,
"Jul 5, 2020 @ 12:47:55.000","2020-07-05T12:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,32,
"Jul 5, 2020 @ 12:47:39.000","2020-07-05T12:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:46:52.000","2020-07-05T12:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 12:40:30.000","2020-07-05T12:40:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 12:40:14.000","2020-07-05T12:40:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,2,3,3,,,
