"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"Jul 5, 2020 @ 12:40:05.000","2020-07-05T12:40:05Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,24,
"Jul 5, 2020 @ 12:40:04.000","2020-07-05T12:40:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,24,
"Jul 5, 2020 @ 12:37:41.000","2020-07-05T12:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,31,"3.979"
"Jul 5, 2020 @ 12:37:24.000","2020-07-05T12:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:37:17.000","2020-07-05T12:37:17Z","safecast:2651380949","Solarcast #33009",2651380949,"37.408","141.015",,,,,,,"1,301",
"Jul 5, 2020 @ 12:37:07.000","2020-07-05T12:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 12:28:12.000","2020-07-05T12:28:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,30,
"Jul 5, 2020 @ 12:27:56.000","2020-07-05T12:27:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:27:39.000","2020-07-05T12:27:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 12:26:52.000","2020-07-05T12:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:25:16.000","2020-07-05T12:25:16Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,30,
"Jul 5, 2020 @ 12:17:55.000","2020-07-05T12:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,27,
"Jul 5, 2020 @ 12:17:39.000","2020-07-05T12:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:16:52.000","2020-07-05T12:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 12:10:30.000","2020-07-05T12:10:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 12:10:14.000","2020-07-05T12:10:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,5,6,6,,,
"Jul 5, 2020 @ 12:10:04.000","2020-07-05T12:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,20,25,
"Jul 5, 2020 @ 12:07:41.000","2020-07-05T12:07:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,27,"3.904"
"Jul 5, 2020 @ 12:07:24.000","2020-07-05T12:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 12:07:07.000","2020-07-05T12:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,5,,,
"Jul 5, 2020 @ 11:57:25.000","2020-07-05T11:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,32,
"Jul 5, 2020 @ 11:57:09.000","2020-07-05T11:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:56:52.000","2020-07-05T11:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,4,5,,,
"Jul 5, 2020 @ 11:55:04.000","2020-07-05T11:55:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,27,
"Jul 5, 2020 @ 11:47:55.000","2020-07-05T11:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,25,
"Jul 5, 2020 @ 11:47:39.000","2020-07-05T11:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:46:52.000","2020-07-05T11:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 11:41:16.000","2020-07-05T11:41:16Z","safecast:1344890106","Solarcast #33001",1344890106,"34.148","-118.094",,,,,,,35,
"Jul 5, 2020 @ 11:40:29.000","2020-07-05T11:40:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 11:40:13.000","2020-07-05T11:40:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,3,5,5,,,
"Jul 5, 2020 @ 11:40:04.000","2020-07-05T11:40:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,28,
"Jul 5, 2020 @ 11:37:41.000","2020-07-05T11:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,29,"3.909"
"Jul 5, 2020 @ 11:37:24.000","2020-07-05T11:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:37:07.000","2020-07-05T11:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 11:27:25.000","2020-07-05T11:27:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,31,
"Jul 5, 2020 @ 11:27:09.000","2020-07-05T11:27:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:26:52.000","2020-07-05T11:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 11:25:08.000","2020-07-05T11:25:08Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,28,
"Jul 5, 2020 @ 11:17:55.000","2020-07-05T11:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,31,33,
"Jul 5, 2020 @ 11:17:42.000","2020-07-05T11:17:42Z","safecast:230442684","Solarcast #30016",230442684,"34.122","-118.261",,,,,,,33,"3.561"
"Jul 5, 2020 @ 11:17:39.000","2020-07-05T11:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:16:52.000","2020-07-05T11:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,3,3,,,
"Jul 5, 2020 @ 11:10:30.000","2020-07-05T11:10:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 11:10:23.000","2020-07-05T11:10:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,1,2,2,,,
"Jul 5, 2020 @ 11:10:04.000","2020-07-05T11:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,23,
"Jul 5, 2020 @ 11:07:41.000","2020-07-05T11:07:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,28,"3.912"
"Jul 5, 2020 @ 11:07:24.000","2020-07-05T11:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 11:07:07.000","2020-07-05T11:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 10:58:58.000","2020-07-05T10:58:58Z","safecast:1045649384","Solarcast #30022",1045649384,"37.739","-122.503","14.328","88.67",11,18,23,20,3,"3.915"
"Jul 5, 2020 @ 10:57:25.000","2020-07-05T10:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,28,
"Jul 5, 2020 @ 10:57:09.000","2020-07-05T10:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:56:52.000","2020-07-05T10:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 10:55:04.000","2020-07-05T10:55:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,26,
"Jul 5, 2020 @ 10:47:55.000","2020-07-05T10:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,30,
"Jul 5, 2020 @ 10:47:39.000","2020-07-05T10:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:46:52.000","2020-07-05T10:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 10:41:55.000","2020-07-05T10:41:55Z","safecast:4249659165","Solarcast #30018",4249659165,"34.132","-118.842",,,,,,31,31,"3.583"
"Jul 5, 2020 @ 10:40:29.000","2020-07-05T10:40:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 10:40:15.000","2020-07-05T10:40:15Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,4,5,5,,,
"Jul 5, 2020 @ 10:40:08.000","2020-07-05T10:40:08Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,26,
"Jul 5, 2020 @ 10:37:41.000","2020-07-05T10:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,25,"3.929"
"Jul 5, 2020 @ 10:37:24.000","2020-07-05T10:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:37:07.000","2020-07-05T10:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,2,2,,,
"Jul 5, 2020 @ 10:27:24.000","2020-07-05T10:27:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,28,
"Jul 5, 2020 @ 10:27:09.000","2020-07-05T10:27:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:26:52.000","2020-07-05T10:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 10:25:08.000","2020-07-05T10:25:08Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,25,
"Jul 5, 2020 @ 10:23:52.000","2020-07-05T10:23:52Z","safecast:3865366066","Solarcast #33004",3865366066,"46.317","-119.325",,,,,,,31,
"Jul 5, 2020 @ 10:17:54.000","2020-07-05T10:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,33,
"Jul 5, 2020 @ 10:17:39.000","2020-07-05T10:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:16:52.000","2020-07-05T10:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 10:10:29.000","2020-07-05T10:10:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 10:10:13.000","2020-07-05T10:10:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jul 5, 2020 @ 10:10:04.000","2020-07-05T10:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,29,
"Jul 5, 2020 @ 10:07:41.000","2020-07-05T10:07:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,29,"3.943"
"Jul 5, 2020 @ 10:07:24.000","2020-07-05T10:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 10:07:07.000","2020-07-05T10:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 10:01:26.000","2020-07-05T10:01:26Z","safecast:1875225345","Solarcast #30006",1875225345,"37.358","140.368",,,,,,34,48,"3.612"
"Jul 5, 2020 @ 09:57:25.000","2020-07-05T09:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,33,
"Jul 5, 2020 @ 09:57:09.000","2020-07-05T09:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:56:52.000","2020-07-05T09:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jul 5, 2020 @ 09:55:27.000","2020-07-05T09:55:27Z","safecast:129232559","Solarcast #30012",129232559,"37.443","-122.128",,,,,,26,23,"3.591"
"Jul 5, 2020 @ 09:55:04.000","2020-07-05T09:55:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,24,
"Jul 5, 2020 @ 09:47:55.000","2020-07-05T09:47:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,30,
"Jul 5, 2020 @ 09:47:39.000","2020-07-05T09:47:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:46:52.000","2020-07-05T09:46:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Jul 5, 2020 @ 09:40:30.000","2020-07-05T09:40:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 09:40:14.000","2020-07-05T09:40:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jul 5, 2020 @ 09:40:05.000","2020-07-05T09:40:05Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,30,
"Jul 5, 2020 @ 09:40:04.000","2020-07-05T09:40:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,30,
"Jul 5, 2020 @ 09:37:41.000","2020-07-05T09:37:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,21,24,"3.975"
"Jul 5, 2020 @ 09:37:24.000","2020-07-05T09:37:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:37:07.000","2020-07-05T09:37:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,5,,,
"Jul 5, 2020 @ 09:27:25.000","2020-07-05T09:27:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,24,
"Jul 5, 2020 @ 09:27:09.000","2020-07-05T09:27:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:26:52.000","2020-07-05T09:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,5,,,
"Jul 5, 2020 @ 09:25:04.000","2020-07-05T09:25:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,26,
"Jul 5, 2020 @ 09:24:57.000","2020-07-05T09:24:57Z","safecast:4267748403","Solarcast #30019",4267748403,"34.122","-118.261","16.092","93.319",201,367,435,28,36,"3.931"
"Jul 5, 2020 @ 09:17:55.000","2020-07-05T09:17:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,31,0,
"Jul 5, 2020 @ 09:17:39.000","2020-07-05T09:17:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:16:52.000","2020-07-05T09:16:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,5,,,
"Jul 5, 2020 @ 09:10:30.000","2020-07-05T09:10:30Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jul 5, 2020 @ 09:10:14.000","2020-07-05T09:10:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jul 5, 2020 @ 09:10:05.000","2020-07-05T09:10:05Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,24,
"Jul 5, 2020 @ 09:10:04.000","2020-07-05T09:10:04Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,24,
"Jul 5, 2020 @ 09:07:24.000","2020-07-05T09:07:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 09:07:07.000","2020-07-05T09:07:03Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,6,6,,,
"Jul 5, 2020 @ 08:58:54.000","2020-07-05T08:58:54Z","safecast:1094924990","Solarcast #30024",1094924990,"33.449","-117.649",,,21,33,40,30,33,
"Jul 5, 2020 @ 08:57:25.000","2020-07-05T08:57:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,0,
"Jul 5, 2020 @ 08:57:09.000","2020-07-05T08:57:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jul 5, 2020 @ 08:56:52.000","2020-07-05T08:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,6,7,8,,,
"Jul 5, 2020 @ 08:56:13.000","2020-07-05T08:56:13Z","safecast:3768313999","Solarcast #30026",3768313999,"33.403","-117.595",,,,,,26,34,"3.723"
"Jul 5, 2020 @ 08:55:17.000","2020-07-05T08:55:17Z","safecast:1162749983","Solarcast #33008",1162749983,"34.482","136.162",,,,,,,45,
