"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"Feb 29, 2020 @ 23:56:03.000","2020-02-29T23:56:03Z","safecast:2750599726","Solarcast #33003",2750599726,"46.308","-119.347",,,,,,,28,
"Feb 29, 2020 @ 23:54:05.000","2020-02-29T23:54:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,29,27,"3.823"
"Feb 29, 2020 @ 23:53:48.000","2020-02-29T23:53:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 23:53:31.000","2020-02-29T23:53:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,1,1,,,
"Feb 29, 2020 @ 23:47:11.000","2020-02-29T23:47:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,5,
"Feb 29, 2020 @ 23:38:30.000","2020-02-29T23:38:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,22,32,
"Feb 29, 2020 @ 23:32:54.000","2020-02-29T23:32:54Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:53.000","2020-02-29T23:32:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:48.000","2020-02-29T23:32:48Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:47.000","2020-02-29T23:32:47Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:35.000","2020-02-29T23:32:35Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:29.000","2020-02-29T23:32:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:24.000","2020-02-29T23:32:24Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:23.000","2020-02-29T23:32:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:17.000","2020-02-29T23:32:17Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:11.000","2020-02-29T23:32:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:32:11.000","2020-02-29T23:32:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,7,
"Feb 29, 2020 @ 23:24:05.000","2020-02-29T23:24:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,32,31,"3.825"
"Feb 29, 2020 @ 23:23:48.000","2020-02-29T23:23:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 23:23:31.000","2020-02-29T23:23:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,1,2,,,
"Feb 29, 2020 @ 23:17:11.000","2020-02-29T23:17:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,19,7,
"Feb 29, 2020 @ 23:08:30.000","2020-02-29T23:08:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,27,
"Feb 29, 2020 @ 23:02:53.000","2020-02-29T23:02:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:47.000","2020-02-29T23:02:47Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:41.000","2020-02-29T23:02:41Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:35.000","2020-02-29T23:02:35Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:29.000","2020-02-29T23:02:29Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:23.000","2020-02-29T23:02:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:23.000","2020-02-29T23:02:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:17.000","2020-02-29T23:02:17Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 23:02:11.000","2020-02-29T23:02:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 22:54:05.000","2020-02-29T22:54:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,29,"3.827"
"Feb 29, 2020 @ 22:53:48.000","2020-02-29T22:53:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 22:53:31.000","2020-02-29T22:53:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Feb 29, 2020 @ 22:47:11.000","2020-02-29T22:47:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,12,
"Feb 29, 2020 @ 22:38:30.000","2020-02-29T22:38:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,30,
"Feb 29, 2020 @ 22:32:36.000","2020-02-29T22:32:36Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,1,1,,,
"Feb 29, 2020 @ 22:32:11.000","2020-02-29T22:32:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,11,
"Feb 29, 2020 @ 22:24:05.000","2020-02-29T22:24:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,27,"3.827"
"Feb 29, 2020 @ 22:23:48.000","2020-02-29T22:23:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 22:23:31.000","2020-02-29T22:23:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,3,,,
"Feb 29, 2020 @ 22:17:11.000","2020-02-29T22:17:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,11,
"Feb 29, 2020 @ 22:08:30.000","2020-02-29T22:08:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,30,
"Feb 29, 2020 @ 22:02:35.000","2020-02-29T22:02:35Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Feb 29, 2020 @ 22:02:17.000","2020-02-29T22:02:17Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,13,
"Feb 29, 2020 @ 22:02:11.000","2020-02-29T22:02:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,13,
"Feb 29, 2020 @ 21:56:04.000","2020-02-29T21:56:04Z","safecast:872300871","Solarcast #30013",872300871,"34.165","-118.135",,,,,,34,40,"3.595"
"Feb 29, 2020 @ 21:54:05.000","2020-02-29T21:54:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,29,28,"3.829"
"Feb 29, 2020 @ 21:53:48.000","2020-02-29T21:53:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 21:53:31.000","2020-02-29T21:53:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,4,4,,,
"Feb 29, 2020 @ 21:47:11.000","2020-02-29T21:47:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,15,
"Feb 29, 2020 @ 21:38:30.000","2020-02-29T21:38:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,27,
"Feb 29, 2020 @ 21:32:37.000","2020-02-29T21:32:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Feb 29, 2020 @ 21:32:13.000","2020-02-29T21:32:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,14,
"Feb 29, 2020 @ 21:32:11.000","2020-02-29T21:32:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,14,
"Feb 29, 2020 @ 21:24:05.000","2020-02-29T21:24:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,31,35,"3.83"
"Feb 29, 2020 @ 21:23:48.000","2020-02-29T21:23:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 21:23:31.000","2020-02-29T21:23:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,4,4,,,
"Feb 29, 2020 @ 21:17:11.000","2020-02-29T21:17:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,29,15,
"Feb 29, 2020 @ 21:08:30.000","2020-02-29T21:08:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,28,
"Feb 29, 2020 @ 21:02:34.000","2020-02-29T21:02:34Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,1,1,,,
"Feb 29, 2020 @ 21:02:23.000","2020-02-29T21:02:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,18,
"Feb 29, 2020 @ 21:02:17.000","2020-02-29T21:02:17Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,18,
"Feb 29, 2020 @ 21:02:17.000","2020-02-29T21:02:17Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,18,
"Feb 29, 2020 @ 21:02:11.000","2020-02-29T21:02:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,18,
"Feb 29, 2020 @ 20:58:46.000","2020-02-29T20:58:46Z","safecast:230442684","Solarcast #30016",230442684,"34.122","-118.261",,,,,,,40,"3.596"
"Feb 29, 2020 @ 20:54:05.000","2020-02-29T20:54:00Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,34,"3.831"
"Feb 29, 2020 @ 20:53:48.000","2020-02-29T20:53:45Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Feb 29, 2020 @ 20:53:31.000","2020-02-29T20:53:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Feb 29, 2020 @ 20:47:11.000","2020-02-29T20:47:11Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,31,21,
"Feb 29, 2020 @ 20:38:30.000","2020-02-29T20:38:21Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,30,26,
"Feb 29, 2020 @ 20:32:53.000","2020-02-29T20:32:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,18,
"Feb 29, 2020 @ 20:32:47.000","2020-02-29T20:32:47Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,18,
"Feb 29, 2020 @ 20:32:47.000","2020-02-29T20:32:47Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,18,
"Feb 29, 2020 @ 20:32:41.000","2020-02-29T20:32:41Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,18,
