,device,when_captured
6,114699387,2018-12-01 04:20:07+00:00
7,114699387,2018-12-01 05:35:08+00:00
8,114699387,2018-12-01 06:50:07+00:00
9,114699387,2018-12-01 08:05:07+00:00
10,114699387,2018-12-01 09:20:07+00:00
11,114699387,2018-12-01 10:35:07+00:00
12,114699387,2018-12-01 11:50:07+00:00
13,114699387,2018-12-01 13:05:07+00:00
14,114699387,2018-12-01 14:20:07+00:00
15,114699387,2018-12-01 15:20:07+00:00
70,114699387,2018-12-03 00:35:06+00:00
71,114699387,2018-12-03 03:05:06+00:00
72,114699387,2018-12-03 04:05:05+00:00
241,114699387,2018-12-07 04:46:14+00:00
242,114699387,2018-12-07 06:01:15+00:00
243,114699387,2018-12-07 08:31:14+00:00
244,114699387,2018-12-07 09:46:14+00:00
245,114699387,2018-12-07 11:01:14+00:00
246,114699387,2018-12-07 12:16:14+00:00
247,114699387,2018-12-07 13:31:14+00:00
248,114699387,2018-12-07 14:46:14+00:00
249,114699387,2018-12-07 15:46:14+00:00
283,114699387,2018-12-08 05:16:13+00:00
284,114699387,2018-12-08 06:31:13+00:00
285,114699387,2018-12-08 07:46:13+00:00
286,114699387,2018-12-08 09:01:13+00:00
287,114699387,2018-12-08 10:16:13+00:00
288,114699387,2018-12-08 11:31:13+00:00
289,114699387,2018-12-08 14:01:13+00:00
290,114699387,2018-12-08 15:16:17+00:00
291,114699387,2018-12-08 16:16:13+00:00
400,114699387,2018-12-11 04:25:52+00:00
401,114699387,2018-12-11 08:10:52+00:00
402,114699387,2018-12-11 09:25:52+00:00
403,114699387,2018-12-11 15:25:51+00:00
414,114699387,2018-12-12 04:55:51+00:00
415,114699387,2018-12-12 06:10:51+00:00
416,114699387,2018-12-12 07:25:51+00:00
417,114699387,2018-12-12 08:40:51+00:00
418,114699387,2018-12-12 12:25:50+00:00
419,114699387,2018-12-12 14:55:50+00:00
420,114699387,2018-12-12 15:55:52+00:00
438,114699387,2018-12-13 05:25:50+00:00
439,114699387,2018-12-13 07:55:50+00:00
440,114699387,2018-12-13 09:10:50+00:00
441,114699387,2018-12-13 12:55:50+00:00
442,114699387,2018-12-13 16:25:54+00:00
2236,129232559,2018-12-08 10:24:50+00:00
2237,129232559,2018-12-08 12:54:50+00:00
2238,129232559,2018-12-08 15:24:40+00:00
