,device,when_captured
6,114699387,2019-06-03 16:38:12+00:00
7,114699387,2019-06-03 19:08:10+00:00
8,114699387,2019-06-03 20:18:12+00:00
18,114699387,2019-06-04 04:38:11+00:00
19,114699387,2019-06-04 05:48:11+00:00
20,114699387,2019-06-04 06:58:11+00:00
22,114699387,2019-06-04 14:08:09+00:00
24,114699387,2019-06-04 15:14:21+00:00
25,114699387,2019-06-04 16:29:22+00:00
26,114699387,2019-06-04 17:44:22+00:00
27,114699387,2019-06-04 18:49:22+00:00
28,114699387,2019-06-04 19:59:23+00:00
29,114699387,2019-06-04 21:09:23+00:00
30,114699387,2019-06-04 22:19:23+00:00
31,114699387,2019-06-04 23:29:23+00:00
32,114699387,2019-06-05 00:39:23+00:00
33,114699387,2019-06-05 01:49:23+00:00
37,114699387,2019-06-05 02:49:22+00:00
844,114699387,2019-06-11 15:59:47+00:00
845,114699387,2019-06-11 17:14:43+00:00
846,114699387,2019-06-11 18:29:53+00:00
847,114699387,2019-06-11 19:44:46+00:00
848,114699387,2019-06-11 20:59:48+00:00
849,114699387,2019-06-11 23:14:45+00:00
850,114699387,2019-06-12 00:24:45+00:00
853,114699387,2019-06-12 01:34:45+00:00
946,114699387,2019-06-13 04:44:44+00:00
947,114699387,2019-06-13 05:54:44+00:00
948,114699387,2019-06-13 10:34:43+00:00
949,114699387,2019-06-13 11:44:44+00:00
950,114699387,2019-06-13 12:59:43+00:00
952,114699387,2019-06-13 16:59:42+00:00
953,114699387,2019-06-13 18:04:42+00:00
954,114699387,2019-06-13 19:14:43+00:00
955,114699387,2019-06-13 22:44:43+00:00
956,114699387,2019-06-13 23:54:43+00:00
958,114699387,2019-06-14 05:04:43+00:00
959,114699387,2019-06-14 06:14:43+00:00
961,114699387,2019-06-14 15:44:41+00:00
963,114699387,2019-06-14 19:44:42+00:00
964,114699387,2019-06-14 20:54:41+00:00
965,114699387,2019-06-14 22:04:42+00:00
966,114699387,2019-06-15 00:24:43+00:00
967,114699387,2019-06-15 03:54:42+00:00
969,114699387,2019-06-15 06:24:41+00:00
970,114699387,2019-06-15 07:34:41+00:00
971,114699387,2019-06-15 11:04:41+00:00
973,114699387,2019-06-15 18:44:40+00:00
974,114699387,2019-06-16 00:34:41+00:00
1090,114699387,2019-06-18 06:14:38+00:00
