,device,when_captured
119,114699387,2018-11-03 12:14:35+00:00
120,114699387,2018-11-03 13:29:35+00:00
283,114699387,2018-11-07 20:13:57+00:00
375,114699387,2018-11-10 04:28:54+00:00
376,114699387,2018-11-10 05:43:54+00:00
377,114699387,2018-11-10 10:43:54+00:00
378,114699387,2018-11-10 11:58:54+00:00
379,114699387,2018-11-10 12:58:54+00:00
388,114699387,2018-11-11 02:28:53+00:00
389,114699387,2018-11-11 03:43:53+00:00
390,114699387,2018-11-11 04:58:53+00:00
391,114699387,2018-11-11 06:13:53+00:00
394,114699387,2018-11-11 08:43:53+00:00
397,114699387,2018-11-11 14:43:54+00:00
398,114699387,2018-11-11 19:43:53+00:00
400,114699387,2018-11-12 04:13:52+00:00
401,114699387,2018-11-12 06:43:52+00:00
402,114699387,2018-11-12 10:28:54+00:00
653,114699387,2018-11-18 04:28:58+00:00
654,114699387,2018-11-18 05:43:57+00:00
655,114699387,2018-11-18 08:13:57+00:00
657,114699387,2018-11-18 09:28:58+00:00
658,114699387,2018-11-18 11:58:58+00:00
659,114699387,2018-11-18 13:13:58+00:00
660,114699387,2018-11-18 14:13:57+00:00
714,114699387,2018-11-19 12:47:08+00:00
715,114699387,2018-11-19 14:02:08+00:00
716,114699387,2018-11-19 15:17:09+00:00
717,114699387,2018-11-19 16:32:08+00:00
718,114699387,2018-11-19 20:17:08+00:00
719,114699387,2018-11-20 00:02:08+00:00
721,114699387,2018-11-20 02:47:08+00:00
722,114699387,2018-11-20 05:17:08+00:00
723,114699387,2018-11-20 06:32:07+00:00
724,114699387,2018-11-20 07:47:07+00:00
725,114699387,2018-11-20 09:02:07+00:00
727,114699387,2018-11-20 10:17:08+00:00
728,114699387,2018-11-20 11:32:07+00:00
729,114699387,2018-11-20 12:32:07+00:00
1044,114699387,2018-11-27 02:20:12+00:00
1045,114699387,2018-11-27 04:50:12+00:00
1046,114699387,2018-11-27 06:05:15+00:00
1047,114699387,2018-11-27 07:20:14+00:00
1048,114699387,2018-11-27 09:50:12+00:00
1049,114699387,2018-11-27 12:20:11+00:00
1050,114699387,2018-11-27 13:20:12+00:00
1145,114699387,2018-11-30 03:50:09+00:00
1174,114699387,2018-11-30 16:05:08+00:00
1818,129232559,2018-11-10 07:59:03+00:00
1819,129232559,2018-11-10 09:14:12+00:00
1820,129232559,2018-11-10 10:29:23+00:00
1821,129232559,2018-11-10 11:44:42+00:00
1822,129232559,2018-11-10 18:58:43+00:00
1823,129232559,2018-11-10 20:13:42+00:00
1826,129232559,2018-11-11 02:28:43+00:00
1838,129232559,2018-11-11 07:13:59+00:00
1839,129232559,2018-11-11 08:29:12+00:00
1840,129232559,2018-11-11 09:44:13+00:00
1841,129232559,2018-11-11 10:59:32+00:00
1842,129232559,2018-11-11 12:14:24+00:00
1843,129232559,2018-11-11 13:29:39+00:00
1844,129232559,2018-11-11 14:44:24+00:00
2187,129232559,2018-11-17 11:29:10+00:00
2188,129232559,2018-11-17 13:58:55+00:00
2189,129232559,2018-11-17 15:13:44+00:00
2190,129232559,2018-11-17 20:03:18+00:00
