,device,when_captured
115,114699387,2018-04-02 10:20:16+00:00
116,114699387,2018-04-02 11:25:16+00:00
117,114699387,2018-04-02 12:40:15+00:00
118,114699387,2018-04-02 13:55:16+00:00
119,114699387,2018-04-02 15:10:15+00:00
120,114699387,2018-04-02 16:25:15+00:00
121,114699387,2018-04-02 17:40:15+00:00
123,114699387,2018-04-02 21:20:17+00:00
345,114699387,2018-04-05 11:20:13+00:00
346,114699387,2018-04-05 13:40:13+00:00
347,114699387,2018-04-05 16:10:12+00:00
742,114699387,2018-04-11 13:42:04+00:00
743,114699387,2018-04-12 00:22:06+00:00
791,114699387,2018-04-13 01:52:03+00:00
792,114699387,2018-04-13 03:02:05+00:00
793,114699387,2018-04-13 04:12:03+00:00
794,114699387,2018-04-13 05:22:04+00:00
795,114699387,2018-04-13 06:32:03+00:00
1069,114699387,2018-04-16 15:16:46+00:00
1070,114699387,2018-04-17 01:51:43+00:00
1143,114699387,2018-04-18 03:31:41+00:00
1144,114699387,2018-04-18 04:41:41+00:00
1149,114699387,2018-04-18 05:51:42+00:00
1189,114699387,2018-04-18 19:21:41+00:00
1190,114699387,2018-04-18 20:31:41+00:00
1191,114699387,2018-04-19 00:01:40+00:00
1349,114699387,2018-04-22 04:18:34+00:00
1350,114699387,2018-04-22 05:28:35+00:00
1600,114699387,2018-04-26 06:08:32+00:00
1601,114699387,2018-04-26 09:38:32+00:00
1602,114699387,2018-04-26 10:48:36+00:00
1603,114699387,2018-04-26 11:58:32+00:00
1604,114699387,2018-04-26 13:03:30+00:00
1605,114699387,2018-04-26 15:33:30+00:00
1917,129232559,2018-04-02 00:49:37+00:00
1918,129232559,2018-04-02 01:59:31+00:00
1919,129232559,2018-04-02 03:09:36+00:00
1920,129232559,2018-04-02 04:19:41+00:00
1921,129232559,2018-04-02 09:00:07+00:00
1922,129232559,2018-04-02 10:15:21+00:00
2092,129232559,2018-04-04 13:44:35+00:00
2093,129232559,2018-04-04 14:59:35+00:00
2094,129232559,2018-04-04 16:14:31+00:00
2095,129232559,2018-04-04 17:19:20+00:00
2103,129232559,2018-04-05 00:29:16+00:00
2106,129232559,2018-04-05 01:39:21+00:00
2224,129232559,2018-04-06 16:13:22+00:00
2225,129232559,2018-04-06 22:28:21+00:00
2226,129232559,2018-04-07 00:58:26+00:00
2228,129232559,2018-04-07 02:28:21+00:00
2229,129232559,2018-04-07 03:43:21+00:00
2230,129232559,2018-04-07 04:58:27+00:00
2231,129232559,2018-04-07 06:13:37+00:00
2232,129232559,2018-04-07 07:28:47+00:00
2236,129232559,2018-04-07 08:43:46+00:00
2466,129232559,2018-04-11 03:28:21+00:00
2468,129232559,2018-04-11 10:29:16+00:00
2469,129232559,2018-04-11 11:44:10+00:00
2470,129232559,2018-04-11 11:44:11+00:00
2471,129232559,2018-04-11 14:13:36+00:00
2696,129232559,2018-04-15 06:15:34+00:00
2755,129232559,2018-04-16 06:25:45+00:00
2756,129232559,2018-04-16 07:35:45+00:00
2757,129232559,2018-04-16 08:46:05+00:00
2758,129232559,2018-04-16 09:56:04+00:00
2759,129232559,2018-04-16 11:11:13+00:00
2760,129232559,2018-04-16 12:26:04+00:00
2761,129232559,2018-04-16 13:40:40+00:00
2762,129232559,2018-04-16 14:55:09+00:00
2792,129232559,2018-04-17 06:45:49+00:00
2793,129232559,2018-04-17 07:55:55+00:00
2794,129232559,2018-04-17 09:11:04+00:00
2795,129232559,2018-04-17 11:40:59+00:00
2796,129232559,2018-04-17 12:55:54+00:00
2797,129232559,2018-04-17 15:25:19+00:00
2828,129232559,2018-04-18 07:05:56+00:00
2829,129232559,2018-04-18 08:15:20+00:00
2830,129232559,2018-04-18 11:55:44+00:00
2831,129232559,2018-04-18 13:10:54+00:00
2832,129232559,2018-04-18 14:25:24+00:00
3120,129232559,2018-04-23 09:40:33+00:00
3121,129232559,2018-04-23 12:05:36+00:00
3122,129232559,2018-04-23 19:19:37+00:00
3123,129232559,2018-04-23 20:29:59+00:00
3255,129232559,2018-04-26 10:35:47+00:00
3256,129232559,2018-04-26 11:50:46+00:00
3257,129232559,2018-04-26 15:34:41+00:00
3258,129232559,2018-04-26 20:19:47+00:00
3259,129232559,2018-04-27 00:59:33+00:00
3289,129232559,2018-04-27 12:05:31+00:00
3290,129232559,2018-04-27 14:34:51+00:00
3291,129232559,2018-04-27 15:49:41+00:00
3292,129232559,2018-04-27 20:39:47+00:00
5670,230442684,2018-04-01 05:28:01+00:00
5671,230442684,2018-04-01 06:43:11+00:00
5672,230442684,2018-04-01 09:13:03+00:00
5673,230442684,2018-04-01 10:28:00+00:00
5674,230442684,2018-04-01 11:42:59+00:00
5675,230442684,2018-04-01 14:12:59+00:00
5676,230442684,2018-04-01 15:27:59+00:00
5677,230442684,2018-04-01 16:42:59+00:00
5871,230442684,2018-04-06 08:28:08+00:00
5872,230442684,2018-04-06 09:43:03+00:00
5873,230442684,2018-04-06 10:58:03+00:00
5874,230442684,2018-04-06 13:28:04+00:00
5875,230442684,2018-04-06 14:43:04+00:00
5876,230442684,2018-04-06 15:58:03+00:00
5946,230442684,2018-04-08 07:40:16+00:00
5947,230442684,2018-04-08 08:55:17+00:00
5948,230442684,2018-04-08 10:10:22+00:00
5949,230442684,2018-04-08 12:40:18+00:00
5950,230442684,2018-04-08 15:10:17+00:00
5951,230442684,2018-04-08 16:25:16+00:00
5952,230442684,2018-04-08 17:40:17+00:00
6471,230442684,2018-04-20 01:46:48+00:00
6472,230442684,2018-04-20 03:01:46+00:00
6473,230442684,2018-04-20 04:16:47+00:00
6474,230442684,2018-04-20 08:01:48+00:00
6476,230442684,2018-04-20 12:46:48+00:00
6477,230442684,2018-04-20 14:01:47+00:00
6478,230442684,2018-04-20 15:16:48+00:00
6479,230442684,2018-04-20 19:01:51+00:00
6480,230442684,2018-04-21 02:16:52+00:00
6502,230442684,2018-04-21 12:01:51+00:00
6503,230442684,2018-04-21 14:31:49+00:00
6504,230442684,2018-04-21 19:31:53+00:00
6579,230442684,2018-04-23 09:09:04+00:00
6580,230442684,2018-04-23 11:39:06+00:00
6607,230442684,2018-04-24 09:39:13+00:00
6608,230442684,2018-04-24 10:54:05+00:00
6609,230442684,2018-04-24 12:09:04+00:00
6610,230442684,2018-04-24 14:39:06+00:00
6611,230442684,2018-04-24 19:39:04+00:00
7159,271575163,2018-04-04 04:15:23+00:00
7160,271575163,2018-04-04 05:23:38+00:00
7161,271575163,2018-04-04 07:43:37+00:00
7162,271575163,2018-04-04 08:53:37+00:00
7776,271575163,2018-04-12 17:42:08+00:00
7777,271575163,2018-04-12 21:12:07+00:00
7778,271575163,2018-04-12 22:22:09+00:00
7779,271575163,2018-04-13 00:42:07+00:00
7780,271575163,2018-04-13 01:52:08+00:00
7781,271575163,2018-04-13 04:42:05+00:00
7901,271575163,2018-04-15 06:31:55+00:00
7902,271575163,2018-04-15 07:41:55+00:00
7903,271575163,2018-04-15 11:11:54+00:00
7904,271575163,2018-04-15 12:21:54+00:00
7905,271575163,2018-04-15 13:31:54+00:00
7906,271575163,2018-04-15 15:51:53+00:00
8087,271575163,2018-04-18 04:49:51+00:00
8088,271575163,2018-04-18 05:59:51+00:00
8089,271575163,2018-04-18 05:59:52+00:00
8090,271575163,2018-04-18 07:09:51+00:00
8091,271575163,2018-04-18 08:19:53+00:00
8092,271575163,2018-04-18 10:39:50+00:00
8093,271575163,2018-04-18 11:49:50+00:00
8094,271575163,2018-04-18 12:59:50+00:00
8095,271575163,2018-04-18 14:09:51+00:00
8096,271575163,2018-04-18 15:19:49+00:00
8097,271575163,2018-04-18 16:29:49+00:00
8733,271575163,2018-04-27 19:53:16+00:00
8734,271575163,2018-04-27 21:03:14+00:00
8735,271575163,2018-04-28 01:43:15+00:00
8736,271575163,2018-04-28 04:03:13+00:00
8737,271575163,2018-04-28 05:13:12+00:00
8739,271575163,2018-04-28 06:53:14+00:00
8740,271575163,2018-04-28 08:03:11+00:00
8741,271575163,2018-04-28 09:13:12+00:00
8742,271575163,2018-04-28 10:23:11+00:00
8743,271575163,2018-04-28 11:33:11+00:00
8744,271575163,2018-04-28 15:03:06+00:00
8910,374304606,2018-04-01 00:26:30+00:00
8911,374304606,2018-04-01 01:36:35+00:00
8912,374304606,2018-04-01 02:47:16+00:00
8913,374304606,2018-04-01 05:06:29+00:00
8914,374304606,2018-04-01 06:16:30+00:00
8917,374304606,2018-04-01 07:26:30+00:00
8933,374304606,2018-04-01 11:16:35+00:00
8934,374304606,2018-04-01 13:36:41+00:00
8936,374304606,2018-04-01 20:46:30+00:00
9371,374304606,2018-04-13 04:51:31+00:00
9372,374304606,2018-04-13 06:01:27+00:00
9373,374304606,2018-04-13 07:11:33+00:00
