,device,when_captured
4694,129232559,2019-04-25 07:55:08+00:00
4695,129232559,2019-04-25 09:05:08+00:00
4696,129232559,2019-04-25 10:15:08+00:00
4697,129232559,2019-04-25 11:20:07+00:00
4698,129232559,2019-04-25 13:50:07+00:00
4699,129232559,2019-04-25 15:05:07+00:00
4700,129232559,2019-04-25 17:25:08+00:00
4702,129232559,2019-04-25 20:05:08+00:00
4703,129232559,2019-04-25 22:25:08+00:00
4704,129232559,2019-04-25 23:35:14+00:00
10086,271575163,2019-04-21 17:47:00+00:00
10087,271575163,2019-04-21 20:31:05+00:00
10089,271575163,2019-04-21 20:31:07+00:00
10091,271575163,2019-04-21 20:31:09+00:00
10092,271575163,2019-04-21 21:16:58+00:00
10093,271575163,2019-04-21 22:26:59+00:00
10094,271575163,2019-04-21 23:36:59+00:00
10095,271575163,2019-04-22 00:46:58+00:00
19079,479911182,2019-04-21 19:05:45+00:00
24382,872300871,2019-04-26 04:03:47+00:00
24383,872300871,2019-04-26 05:18:47+00:00
24384,872300871,2019-04-26 10:18:47+00:00
24385,872300871,2019-04-26 11:33:47+00:00
24388,872300871,2019-04-26 13:48:47+00:00
26818,974587752,2019-04-25 23:21:34+00:00
26819,974587752,2019-04-26 00:36:34+00:00
26820,974587752,2019-04-26 01:51:44+00:00
26821,974587752,2019-04-26 03:06:34+00:00
26822,974587752,2019-04-26 08:06:40+00:00
26824,974587752,2019-04-26 09:06:34+00:00
34066,1162749983,2019-04-25 06:21:21+00:00
34067,1162749983,2019-04-25 07:31:21+00:00
34068,1162749983,2019-04-25 12:11:20+00:00
34069,1162749983,2019-04-25 13:21:19+00:00
34070,1162749983,2019-04-25 15:41:19+00:00
34071,1162749983,2019-04-25 16:51:18+00:00
36489,1875225345,2019-04-20 14:48:17+00:00
36490,1875225345,2019-04-20 15:58:19+00:00
36491,1875225345,2019-04-20 17:08:17+00:00
36492,1875225345,2019-04-20 18:18:17+00:00
36493,1875225345,2019-04-20 19:28:17+00:00
36494,1875225345,2019-04-20 21:58:17+00:00
36496,1875225345,2019-04-21 02:58:16+00:00
36497,1875225345,2019-04-21 04:13:55+00:00
36498,1875225345,2019-04-21 05:28:16+00:00
36499,1875225345,2019-04-21 07:58:16+00:00
36500,1875225345,2019-04-21 09:13:16+00:00
36501,1875225345,2019-04-21 10:28:18+00:00
36504,1875225345,2019-04-21 13:58:16+00:00
36878,1875225345,2019-04-25 05:43:15+00:00
