,device,when_captured
2598,129232559,2019-02-08 10:47:38+00:00
2599,129232559,2019-02-08 12:02:42+00:00
2600,129232559,2019-02-08 13:17:37+00:00
2601,129232559,2019-02-08 14:32:33+00:00
16311,479911182,2019-02-14 19:48:31+00:00
16312,479911182,2019-02-14 21:03:31+00:00
16313,479911182,2019-02-14 22:18:31+00:00
16314,479911182,2019-02-14 23:33:31+00:00
16315,479911182,2019-02-15 00:48:31+00:00
16316,479911182,2019-02-15 02:03:31+00:00
16318,479911182,2019-02-15 02:48:31+00:00
44155,2670856639,2019-02-08 09:40:56+00:00
44156,2670856639,2019-02-08 10:55:47+00:00
44157,2670856639,2019-02-08 12:10:39+00:00
44158,2670856639,2019-02-08 13:25:49+00:00
44159,2670856639,2019-02-08 14:40:40+00:00
44160,2670856639,2019-02-08 15:55:39+00:00
44162,2670856639,2019-02-08 16:55:39+00:00
54320,3768313999,2019-02-08 11:39:35+00:00
54321,3768313999,2019-02-08 12:54:28+00:00
54322,3768313999,2019-02-08 14:09:29+00:00
54323,3768313999,2019-02-08 15:24:27+00:00
54324,3768313999,2019-02-08 16:39:24+00:00
