,device,when_captured
463,114699387,2018-10-08 05:22:59+00:00
464,114699387,2018-10-08 10:22:59+00:00
465,114699387,2018-10-08 11:37:59+00:00
466,114699387,2018-10-08 12:52:59+00:00
467,114699387,2018-10-08 14:07:59+00:00
468,114699387,2018-10-08 15:22:59+00:00
541,114699387,2018-10-10 08:07:56+00:00
542,114699387,2018-10-10 09:22:57+00:00
543,114699387,2018-10-10 10:37:56+00:00
544,114699387,2018-10-10 11:52:57+00:00
545,114699387,2018-10-10 13:07:56+00:00
567,114699387,2018-10-11 08:37:55+00:00
568,114699387,2018-10-11 11:07:55+00:00
569,114699387,2018-10-11 13:37:55+00:00
591,114699387,2018-10-12 07:52:54+00:00
592,114699387,2018-10-12 09:07:54+00:00
593,114699387,2018-10-12 10:22:54+00:00
594,114699387,2018-10-12 11:37:54+00:00
595,114699387,2018-10-12 14:07:54+00:00
627,114699387,2018-10-13 08:22:53+00:00
628,114699387,2018-10-13 10:52:54+00:00
629,114699387,2018-10-13 12:07:53+00:00
630,114699387,2018-10-13 13:22:53+00:00
631,114699387,2018-10-13 14:37:53+00:00
632,114699387,2018-10-13 15:52:54+00:00
633,114699387,2018-10-14 01:07:53+00:00
634,114699387,2018-10-14 03:27:55+00:00
635,114699387,2018-10-14 04:37:52+00:00
636,114699387,2018-10-14 05:52:52+00:00
845,114699387,2018-10-18 09:59:00+00:00
846,114699387,2018-10-18 11:13:59+00:00
847,114699387,2018-10-18 13:43:59+00:00
848,114699387,2018-10-18 14:58:59+00:00
849,114699387,2018-10-18 17:28:59+00:00
1061,114699387,2018-10-22 06:51:22+00:00
1062,114699387,2018-10-22 10:36:22+00:00
1063,114699387,2018-10-22 11:51:22+00:00
1064,114699387,2018-10-22 13:06:22+00:00
1065,114699387,2018-10-22 19:36:21+00:00
1066,114699387,2018-10-23 00:37:26+00:00
1377,114699387,2018-10-29 11:44:42+00:00
1378,114699387,2018-10-29 12:59:41+00:00
1379,114699387,2018-10-29 14:14:41+00:00
1380,114699387,2018-10-29 19:14:41+00:00
2055,129232559,2018-10-07 13:32:08+00:00
2056,129232559,2018-10-07 14:46:42+00:00
2221,129232559,2018-10-11 00:32:06+00:00
2279,129232559,2018-10-12 05:12:26+00:00
2280,129232559,2018-10-12 06:22:44+00:00
2281,129232559,2018-10-12 07:32:34+00:00
2282,129232559,2018-10-12 09:58:26+00:00
2283,129232559,2018-10-12 13:42:43+00:00
2285,129232559,2018-10-12 14:57:09+00:00
2309,129232559,2018-10-13 04:12:26+00:00
2333,129232559,2018-10-14 00:42:21+00:00
2856,129232559,2018-10-22 11:50:50+00:00
2857,129232559,2018-10-22 13:05:25+00:00
2887,129232559,2018-10-23 08:35:31+00:00
2888,129232559,2018-10-23 09:50:41+00:00
2889,129232559,2018-10-23 11:05:50+00:00
2890,129232559,2018-10-23 12:20:31+00:00
2891,129232559,2018-10-23 14:49:40+00:00
2892,129232559,2018-10-23 16:04:40+00:00
2982,129232559,2018-10-25 09:46:39+00:00
2983,129232559,2018-10-25 14:45:38+00:00
2984,129232559,2018-10-25 19:30:43+00:00
2985,129232559,2018-10-25 20:40:49+00:00
2989,129232559,2018-10-26 00:20:33+00:00
3019,129232559,2018-10-26 11:31:42+00:00
3020,129232559,2018-10-26 12:46:26+00:00
3021,129232559,2018-10-26 15:15:36+00:00
4812,154534971,2018-10-24 05:27:18+00:00
4813,154534971,2018-10-24 06:27:04+00:00
4814,154534971,2018-10-24 09:27:19+00:00
4815,154534971,2018-10-24 10:27:19+00:00
4816,154534971,2018-10-24 11:27:19+00:00
4817,154534971,2018-10-24 12:27:19+00:00
4818,154534971,2018-10-24 14:32:03+00:00
4819,154534971,2018-10-24 15:32:04+00:00
4820,154534971,2018-10-24 19:52:20+00:00
4821,154534971,2018-10-25 00:52:20+00:00
4822,154534971,2018-10-25 01:52:20+00:00
4823,154534971,2018-10-25 02:52:05+00:00
4824,154534971,2018-10-25 03:52:20+00:00
4825,154534971,2018-10-25 04:52:05+00:00
4827,154534971,2018-10-25 06:02:20+00:00
4828,154534971,2018-10-25 07:02:04+00:00
4829,154534971,2018-10-25 08:02:04+00:00
4830,154534971,2018-10-25 09:02:20+00:00
4831,154534971,2018-10-25 10:02:04+00:00
4832,154534971,2018-10-25 11:02:20+00:00
4833,154534971,2018-10-25 14:12:21+00:00
4834,154534971,2018-10-25 20:12:20+00:00
4835,154534971,2018-10-26 00:12:20+00:00
4836,154534971,2018-10-26 01:12:20+00:00
4837,154534971,2018-10-26 02:12:20+00:00
4839,154534971,2018-10-26 06:12:05+00:00
4840,154534971,2018-10-26 07:12:19+00:00
4841,154534971,2018-10-26 08:12:05+00:00
4842,154534971,2018-10-26 09:12:07+00:00
4843,154534971,2018-10-26 10:12:20+00:00
4844,154534971,2018-10-26 11:12:20+00:00
4845,154534971,2018-10-26 12:12:20+00:00
4846,154534971,2018-10-26 13:12:21+00:00
4847,154534971,2018-10-26 14:12:21+00:00
4848,154534971,2018-10-26 15:12:20+00:00
4849,154534971,2018-10-27 00:12:20+00:00
4851,154534971,2018-10-27 01:12:21+00:00
4852,154534971,2018-10-27 02:12:20+00:00
4853,154534971,2018-10-27 03:12:20+00:00
4854,154534971,2018-10-27 05:12:20+00:00
4856,154534971,2018-10-27 09:12:05+00:00
4857,154534971,2018-10-27 10:12:20+00:00
4858,154534971,2018-10-27 11:12:20+00:00
4859,154534971,2018-10-27 12:12:21+00:00
4860,154534971,2018-10-27 13:12:21+00:00
