,when_captured,device_urn,device_sn,device,loc_lat,loc_lon,env_temp,env_humid,pms_pm01_0,pms_pm02_5,pms_pm10_0,lnd_7318c,lnd_7318u,bat_voltage,year,KEY_Dev_WhenCapt
2364,2020-07-01 00:11:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 00:11:48+0000', tz='UTC'))"
2363,2020-07-01 00:12:42+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,4.0,5.0,6.0,,,,2020,"(678194983, Timestamp('2020-07-01 00:12:42+0000', tz='UTC'))"
2362,2020-07-01 00:13:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,22.0,23,,2020,"(3714913954, Timestamp('2020-07-01 00:13:12+0000', tz='UTC'))"
2361,2020-07-01 00:13:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 00:13:27+0000', tz='UTC'))"
2360,2020-07-01 00:13:42+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,25.0,,3.862,2020,"(678194983, Timestamp('2020-07-01 00:13:42+0000', tz='UTC'))"
2359,2020-07-01 00:26:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,26.0,,,2020,"(678194983, Timestamp('2020-07-01 00:26:48+0000', tz='UTC'))"
2357,2020-07-01 00:28:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,23.0,22,,2020,"(3714913954, Timestamp('2020-07-01 00:28:12+0000', tz='UTC'))"
2356,2020-07-01 00:28:37+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,2.0,3.0,,,,2020,"(3714913954, Timestamp('2020-07-01 00:28:37+0000', tz='UTC'))"
2355,2020-07-01 00:28:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 00:28:49+0000', tz='UTC'))"
2354,2020-07-01 00:35:41+00:00,safecast:2670856639,Solarcast #30014,2670856639,34.452,-119.822,,,,,,,,3.7689999999999997,2020,"(2670856639, Timestamp('2020-07-01 00:35:41+0000', tz='UTC'))"
2353,2020-07-01 00:41:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,4.0,6.0,7.0,,,,2020,"(678194983, Timestamp('2020-07-01 00:41:48+0000', tz='UTC'))"
2352,2020-07-01 00:42:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 00:42:12+0000', tz='UTC'))"
2351,2020-07-01 00:42:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,29.0,,3.86,2020,"(678194983, Timestamp('2020-07-01 00:42:27+0000', tz='UTC'))"
2350,2020-07-01 00:43:25+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,19.0,30,,2020,"(3714913954, Timestamp('2020-07-01 00:43:25+0000', tz='UTC'))"
2349,2020-07-01 00:56:32+00:00,safecast:872300871,Solarcast #30013,872300871,34.165,-118.135,,,,,,32.0,37,3.5989999999999998,2020,"(872300871, Timestamp('2020-07-01 00:56:32+0000', tz='UTC'))"
2348,2020-07-01 00:56:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,27.0,,,2020,"(678194983, Timestamp('2020-07-01 00:56:48+0000', tz='UTC'))"
2346,2020-07-01 00:58:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,30.0,32,,2020,"(3714913954, Timestamp('2020-07-01 00:58:12+0000', tz='UTC'))"
2345,2020-07-01 00:58:38+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,4.0,,,,2020,"(3714913954, Timestamp('2020-07-01 00:58:38+0000', tz='UTC'))"
2344,2020-07-01 00:58:44+00:00,safecast:4249659165,Solarcast #30018,4249659165,34.132,-118.84200000000001,,,,,,35.0,38,3.6069999999999998,2020,"(4249659165, Timestamp('2020-07-01 00:58:44+0000', tz='UTC'))"
2343,2020-07-01 00:58:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 00:58:49+0000', tz='UTC'))"
2342,2020-07-01 01:08:26+00:00,safecast:2651380949,Solarcast #33009,2651380949,37.408,141.015,,,,,,,"1,284",4.187,2020,"(2651380949, Timestamp('2020-07-01 01:08:26+0000', tz='UTC'))"
2341,2020-07-01 01:11:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,4.0,6.0,6.0,,,,2020,"(678194983, Timestamp('2020-07-01 01:11:48+0000', tz='UTC'))"
2340,2020-07-01 01:12:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 01:12:12+0000', tz='UTC'))"
2339,2020-07-01 01:12:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,30.0,,3.86,2020,"(678194983, Timestamp('2020-07-01 01:12:27+0000', tz='UTC'))"
2338,2020-07-01 01:13:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,29,,2020,"(3714913954, Timestamp('2020-07-01 01:13:12+0000', tz='UTC'))"
2337,2020-07-01 01:26:46+00:00,safecast:1875225345,Solarcast #30006,1875225345,37.358000000000004,140.368,,,,,,35.0,41,3.5980000000000003,2020,"(1875225345, Timestamp('2020-07-01 01:26:46+0000', tz='UTC'))"
2336,2020-07-01 01:26:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,27.0,,,2020,"(678194983, Timestamp('2020-07-01 01:26:48+0000', tz='UTC'))"
2335,2020-07-01 01:28:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,24.0,20,,2020,"(3714913954, Timestamp('2020-07-01 01:28:12+0000', tz='UTC'))"
2334,2020-07-01 01:28:37+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,4.0,4.0,,,,2020,"(3714913954, Timestamp('2020-07-01 01:28:37+0000', tz='UTC'))"
2333,2020-07-01 01:28:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 01:28:49+0000', tz='UTC'))"
2332,2020-07-01 01:41:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,4.0,6.0,6.0,,,,2020,"(678194983, Timestamp('2020-07-01 01:41:48+0000', tz='UTC'))"
2331,2020-07-01 01:42:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 01:42:12+0000', tz='UTC'))"
2330,2020-07-01 01:42:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,29.0,,3.858,2020,"(678194983, Timestamp('2020-07-01 01:42:27+0000', tz='UTC'))"
2329,2020-07-01 01:43:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,26,,2020,"(3714913954, Timestamp('2020-07-01 01:43:12+0000', tz='UTC'))"
2328,2020-07-01 01:56:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,28.0,,,2020,"(678194983, Timestamp('2020-07-01 01:56:48+0000', tz='UTC'))"
2327,2020-07-01 01:58:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,21.0,32,,2020,"(3714913954, Timestamp('2020-07-01 01:58:12+0000', tz='UTC'))"
2326,2020-07-01 01:58:37+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,3.0,4.0,,,,2020,"(3714913954, Timestamp('2020-07-01 01:58:37+0000', tz='UTC'))"
2325,2020-07-01 01:58:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 01:58:49+0000', tz='UTC'))"
2324,2020-07-01 02:04:06+00:00,safecast:2299238163,Solarcast #30017,2299238163,34.111999999999995,-118.255,,,,,,35.0,35,,2020,"(2299238163, Timestamp('2020-07-01 02:04:06+0000', tz='UTC'))"
2323,2020-07-01 02:11:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,4.0,5.0,6.0,,,,2020,"(678194983, Timestamp('2020-07-01 02:11:48+0000', tz='UTC'))"
2322,2020-07-01 02:12:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 02:12:12+0000', tz='UTC'))"
2321,2020-07-01 02:12:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,28.0,,3.8569999999999998,2020,"(678194983, Timestamp('2020-07-01 02:12:27+0000', tz='UTC'))"
2320,2020-07-01 02:13:17+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,23,,2020,"(3714913954, Timestamp('2020-07-01 02:13:17+0000', tz='UTC'))"
2319,2020-07-01 02:26:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,27.0,,,2020,"(678194983, Timestamp('2020-07-01 02:26:48+0000', tz='UTC'))"
2317,2020-07-01 02:28:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,28.0,30,,2020,"(3714913954, Timestamp('2020-07-01 02:28:12+0000', tz='UTC'))"
2316,2020-07-01 02:28:37+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,3.0,,,,2020,"(3714913954, Timestamp('2020-07-01 02:28:37+0000', tz='UTC'))"
2315,2020-07-01 02:28:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 02:28:49+0000', tz='UTC'))"
2314,2020-07-01 02:37:17+00:00,safecast:3856112813,Solarcast #30001,3856112813,47.611999999999995,-122.345,16.474,62.22,1.0,1.0,2.0,8.0,8,3.859,2020,"(3856112813, Timestamp('2020-07-01 02:37:17+0000', tz='UTC'))"
2313,2020-07-01 02:41:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,3.0,4.0,5.0,,,,2020,"(678194983, Timestamp('2020-07-01 02:41:48+0000', tz='UTC'))"
2312,2020-07-01 02:42:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 02:42:12+0000', tz='UTC'))"
2311,2020-07-01 02:42:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,28.0,,3.8560000000000003,2020,"(678194983, Timestamp('2020-07-01 02:42:27+0000', tz='UTC'))"
2310,2020-07-01 02:43:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,23.0,30,,2020,"(3714913954, Timestamp('2020-07-01 02:43:12+0000', tz='UTC'))"
2309,2020-07-01 02:56:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,26.0,,,2020,"(678194983, Timestamp('2020-07-01 02:56:48+0000', tz='UTC'))"
2308,2020-07-01 02:58:14+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,28,,2020,"(3714913954, Timestamp('2020-07-01 02:58:14+0000', tz='UTC'))"
2307,2020-07-01 02:58:15+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,28,,2020,"(3714913954, Timestamp('2020-07-01 02:58:15+0000', tz='UTC'))"
2306,2020-07-01 02:58:37+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,3.0,,,,2020,"(3714913954, Timestamp('2020-07-01 02:58:37+0000', tz='UTC'))"
2305,2020-07-01 02:58:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-07-01 02:58:49+0000', tz='UTC'))"
2304,2020-07-01 03:03:06+00:00,safecast:3937710776,Solarcast #33002,3937710776,46.31399999999999,-119.345,,,,,,,0,4.1930000000000005,2020,"(3937710776, Timestamp('2020-07-01 03:03:06+0000', tz='UTC'))"
2303,2020-07-01 03:09:18+00:00,safecast:4267748403,Solarcast #30019,4267748403,34.122,-118.26100000000001,22.03,50.979,5.0,7.0,7.0,27.0,32,3.969,2020,"(4267748403, Timestamp('2020-07-01 03:09:18+0000', tz='UTC'))"
2302,2020-07-01 03:11:48+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,5.0,6.0,6.0,,,,2020,"(678194983, Timestamp('2020-07-01 03:11:48+0000', tz='UTC'))"
2301,2020-07-01 03:12:12+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-07-01 03:12:12+0000', tz='UTC'))"
2300,2020-07-01 03:12:27+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,27.0,,3.855,2020,"(678194983, Timestamp('2020-07-01 03:12:27+0000', tz='UTC'))"
2299,2020-07-01 03:13:12+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,29.0,28,,2020,"(3714913954, Timestamp('2020-07-01 03:13:12+0000', tz='UTC'))"
