,device,when_captured
15297,374304606,2018-03-31 12:16:35+00:00
15298,374304606,2018-03-31 13:26:29+00:00
15299,374304606,2018-03-31 14:36:30+00:00
15300,374304606,2018-03-31 15:46:29+00:00
15301,374304606,2018-03-31 20:31:34+00:00
35989,1660294046,2018-03-31 13:13:45+00:00
35990,1660294046,2018-03-31 14:28:44+00:00
35991,1660294046,2018-03-31 15:43:45+00:00
46927,2670856639,2018-03-22 08:02:20+00:00
47713,2670856639,2018-03-31 12:14:09+00:00
47714,2670856639,2018-03-31 13:29:17+00:00
47715,2670856639,2018-03-31 14:44:07+00:00
70546,4267748403,2018-03-31 10:29:47+00:00
