,device,when_captured
851,114699387,2019-03-15 07:13:43+00:00
852,114699387,2019-03-15 08:23:43+00:00
853,114699387,2019-03-15 09:33:43+00:00
854,114699387,2019-03-15 10:43:42+00:00
855,114699387,2019-03-15 11:58:41+00:00
856,114699387,2019-03-15 13:13:41+00:00
857,114699387,2019-03-15 14:28:41+00:00
858,114699387,2019-03-15 15:43:43+00:00
859,114699387,2019-03-15 16:58:41+00:00
861,114699387,2019-03-15 19:23:42+00:00
862,114699387,2019-03-15 22:53:42+00:00
928,114699387,2019-03-16 22:03:42+00:00
929,114699387,2019-03-16 23:13:42+00:00
930,114699387,2019-03-17 00:23:41+00:00
931,114699387,2019-03-17 01:33:43+00:00
932,114699387,2019-03-17 06:13:43+00:00
935,114699387,2019-03-17 07:53:41+00:00
936,114699387,2019-03-17 09:03:41+00:00
937,114699387,2019-03-17 10:13:41+00:00
938,114699387,2019-03-17 11:28:41+00:00
939,114699387,2019-03-17 12:43:40+00:00
940,114699387,2019-03-17 15:13:40+00:00
941,114699387,2019-03-17 16:28:39+00:00
942,114699387,2019-03-17 18:53:55+00:00
1510,114699387,2019-03-24 10:15:00+00:00
1511,114699387,2019-03-24 11:30:00+00:00
1512,114699387,2019-03-24 12:45:00+00:00
1513,114699387,2019-03-24 14:00:00+00:00
1514,114699387,2019-03-24 15:15:00+00:00
1515,114699387,2019-03-24 17:45:00+00:00
1516,114699387,2019-03-24 21:05:00+00:00
1517,114699387,2019-03-24 21:05:01+00:00
1518,114699387,2019-03-24 22:15:01+00:00
1519,114699387,2019-03-25 00:35:00+00:00
1520,114699387,2019-03-25 02:55:00+00:00
1521,114699387,2019-03-25 04:05:00+00:00
1522,114699387,2019-03-25 05:15:00+00:00
1523,114699387,2019-03-25 08:04:59+00:00
1602,114699387,2019-03-26 07:41:25+00:00
1603,114699387,2019-03-26 08:56:25+00:00
1604,114699387,2019-03-26 12:41:25+00:00
1605,114699387,2019-03-26 16:26:25+00:00
1607,114699387,2019-03-26 22:46:26+00:00
1613,114699387,2019-03-26 23:56:26+00:00
1721,114699387,2019-03-28 08:46:24+00:00
1722,114699387,2019-03-28 08:46:25+00:00
1723,114699387,2019-03-28 13:41:24+00:00
1724,114699387,2019-03-28 17:26:23+00:00
1725,114699387,2019-03-28 19:46:24+00:00
2858,129232559,2019-03-13 22:45:13+00:00
2971,129232559,2019-03-15 12:25:13+00:00
2972,129232559,2019-03-15 14:55:13+00:00
2973,129232559,2019-03-15 17:25:19+00:00
2974,129232559,2019-03-15 18:35:14+00:00
2976,129232559,2019-03-15 21:06:33+00:00
2977,129232559,2019-03-15 22:16:26+00:00
2978,129232559,2019-03-15 23:26:26+00:00
2984,129232559,2019-03-16 01:46:27+00:00
3069,129232559,2019-03-17 11:26:27+00:00
3070,129232559,2019-03-17 12:41:26+00:00
3071,129232559,2019-03-17 13:56:32+00:00
3072,129232559,2019-03-17 15:11:26+00:00
3073,129232559,2019-03-17 17:41:26+00:00
3074,129232559,2019-03-17 18:46:27+00:00
3076,129232559,2019-03-17 19:56:34+00:00
3122,129232559,2019-03-18 09:16:27+00:00
3123,129232559,2019-03-18 10:26:27+00:00
3124,129232559,2019-03-18 11:41:27+00:00
3125,129232559,2019-03-18 14:11:26+00:00
3126,129232559,2019-03-18 16:41:26+00:00
3127,129232559,2019-03-18 17:46:27+00:00
3128,129232559,2019-03-18 18:56:33+00:00
3130,129232559,2019-03-18 20:06:27+00:00
3828,129232559,2019-03-26 12:49:22+00:00
3829,129232559,2019-03-26 15:19:22+00:00
3830,129232559,2019-03-26 16:34:22+00:00
3831,129232559,2019-03-26 18:54:23+00:00
3832,129232559,2019-03-26 20:04:23+00:00
3833,129232559,2019-03-26 21:14:23+00:00
3835,129232559,2019-03-26 23:34:29+00:00
3836,129232559,2019-03-27 01:54:23+00:00
3837,129232559,2019-03-27 03:04:23+00:00
3838,129232559,2019-03-27 04:14:23+00:00
3839,129232559,2019-03-27 05:24:23+00:00
3840,129232559,2019-03-27 10:04:23+00:00
3842,129232559,2019-03-27 10:34:28+00:00
5921,154534971,2019-03-21 07:50:16+00:00
5922,154534971,2019-03-21 08:50:17+00:00
5923,154534971,2019-03-21 09:50:16+00:00
5924,154534971,2019-03-21 10:50:16+00:00
5925,154534971,2019-03-21 11:50:17+00:00
5926,154534971,2019-03-21 12:50:15+00:00
5927,154534971,2019-03-21 14:50:16+00:00
5928,154534971,2019-03-21 16:50:16+00:00
5929,154534971,2019-03-21 17:50:16+00:00
5930,154534971,2019-03-21 18:50:15+00:00
5932,154534971,2019-03-21 22:20:16+00:00
5933,154534971,2019-03-22 01:20:17+00:00
5934,154534971,2019-03-22 05:20:16+00:00
5935,154534971,2019-03-22 07:20:17+00:00
5937,154534971,2019-03-22 08:20:16+00:00
5938,154534971,2019-03-22 11:20:15+00:00
5939,154534971,2019-03-22 12:20:15+00:00
5940,154534971,2019-03-22 15:20:16+00:00
5941,154534971,2019-03-22 18:20:15+00:00
5942,154534971,2019-03-22 21:20:16+00:00
5943,154534971,2019-03-22 23:20:16+00:00
5944,154534971,2019-03-23 00:20:16+00:00
5945,154534971,2019-03-23 01:20:16+00:00
5946,154534971,2019-03-23 02:20:20+00:00
5947,154534971,2019-03-23 03:20:16+00:00
5948,154534971,2019-03-23 04:20:16+00:00
5949,154534971,2019-03-23 05:20:16+00:00
5951,154534971,2019-03-23 08:25:14+00:00
5952,154534971,2019-03-23 09:25:14+00:00
5954,154534971,2019-03-23 11:25:15+00:00
5955,154534971,2019-03-23 13:25:17+00:00
5956,154534971,2019-03-23 14:30:15+00:00
5957,154534971,2019-03-23 16:30:15+00:00
5959,154534971,2019-03-23 20:30:14+00:00
5960,154534971,2019-03-23 21:30:16+00:00
5961,154534971,2019-03-23 22:30:14+00:00
5962,154534971,2019-03-23 23:30:16+00:00
5963,154534971,2019-03-24 00:30:14+00:00
5964,154534971,2019-03-24 01:30:16+00:00
5965,154534971,2019-03-24 02:30:14+00:00
5966,154534971,2019-03-24 04:30:14+00:00
5967,154534971,2019-03-24 05:30:16+00:00
5968,154534971,2019-03-24 06:30:16+00:00
5970,154534971,2019-03-24 07:30:16+00:00
5972,154534971,2019-03-24 08:30:17+00:00
5973,154534971,2019-03-24 10:30:16+00:00
5974,154534971,2019-03-24 11:30:17+00:00
5975,154534971,2019-03-24 13:30:15+00:00
5976,154534971,2019-03-24 14:30:15+00:00
5977,154534971,2019-03-24 15:30:16+00:00
5978,154534971,2019-03-24 16:30:16+00:00
5979,154534971,2019-03-24 17:30:14+00:00
5980,154534971,2019-03-24 17:30:15+00:00
5982,154534971,2019-03-24 19:30:27+00:00
5983,154534971,2019-03-24 20:30:27+00:00
5984,154534971,2019-03-24 21:30:23+00:00
5985,154534971,2019-03-24 22:30:17+00:00
5986,154534971,2019-03-24 23:30:27+00:00
5987,154534971,2019-03-25 00:30:20+00:00
5988,154534971,2019-03-25 03:30:16+00:00
5989,154534971,2019-03-25 04:30:17+00:00
5990,154534971,2019-03-25 06:30:17+00:00
5991,154534971,2019-03-25 07:30:19+00:00
5993,154534971,2019-03-25 10:30:16+00:00
5994,154534971,2019-03-25 11:30:16+00:00
5995,154534971,2019-03-25 12:30:16+00:00
5996,154534971,2019-03-25 14:30:16+00:00
5997,154534971,2019-03-25 16:30:17+00:00
5998,154534971,2019-03-25 17:30:16+00:00
5999,154534971,2019-03-25 18:30:14+00:00
6000,154534971,2019-03-25 19:30:15+00:00
6002,154534971,2019-03-25 20:30:15+00:00
6003,154534971,2019-03-25 21:30:15+00:00
6004,154534971,2019-03-25 22:30:15+00:00
6005,154534971,2019-03-25 23:30:15+00:00
6006,154534971,2019-03-26 00:30:19+00:00
6007,154534971,2019-03-26 01:30:16+00:00
6008,154534971,2019-03-26 02:30:14+00:00
6009,154534971,2019-03-26 04:30:14+00:00
6010,154534971,2019-03-26 05:30:16+00:00
6011,154534971,2019-03-26 06:30:15+00:00
6012,154534971,2019-03-26 07:30:16+00:00
6014,154534971,2019-03-26 08:30:16+00:00
6015,154534971,2019-03-26 09:30:16+00:00
6016,154534971,2019-03-26 11:30:16+00:00
6017,154534971,2019-03-26 12:30:16+00:00
6018,154534971,2019-03-26 13:30:16+00:00
6019,154534971,2019-03-26 14:30:15+00:00
6020,154534971,2019-03-26 16:30:16+00:00
6021,154534971,2019-03-26 19:30:16+00:00
6022,154534971,2019-03-26 20:30:16+00:00
6023,154534971,2019-03-26 22:30:14+00:00
6024,154534971,2019-03-27 01:30:16+00:00
6025,154534971,2019-03-27 02:30:14+00:00
6026,154534971,2019-03-27 03:30:14+00:00
6027,154534971,2019-03-27 05:30:16+00:00
6028,154534971,2019-03-27 06:30:16+00:00
6029,154534971,2019-03-27 07:30:17+00:00
6030,154534971,2019-03-27 08:30:16+00:00
6031,154534971,2019-03-27 10:30:16+00:00
6032,154534971,2019-03-27 13:30:16+00:00
6033,154534971,2019-03-27 15:30:16+00:00
6034,154534971,2019-03-27 18:30:16+00:00
6035,154534971,2019-03-27 23:30:16+00:00
6036,154534971,2019-03-28 02:30:15+00:00
6037,154534971,2019-03-28 03:30:15+00:00
6038,154534971,2019-03-28 04:30:16+00:00
6039,154534971,2019-03-28 05:30:16+00:00
6040,154534971,2019-03-28 08:30:20+00:00
6041,154534971,2019-03-28 09:30:17+00:00
7087,230442684,2019-03-16 06:31:33+00:00
7088,230442684,2019-03-16 07:46:33+00:00
7089,230442684,2019-03-16 10:16:39+00:00
7090,230442684,2019-03-16 12:46:33+00:00
7091,230442684,2019-03-16 15:16:33+00:00
7093,230442684,2019-03-16 18:01:33+00:00
7094,230442684,2019-03-16 19:16:33+00:00
7095,230442684,2019-03-16 20:31:34+00:00
7096,230442684,2019-03-16 21:46:40+00:00
7097,230442684,2019-03-16 23:01:34+00:00
7098,230442684,2019-03-17 01:31:34+00:00
7099,230442684,2019-03-17 02:46:33+00:00
7186,230442684,2019-03-23 04:46:02+00:00
7187,230442684,2019-03-23 06:01:03+00:00
7188,230442684,2019-03-23 07:16:03+00:00
7189,230442684,2019-03-23 12:16:03+00:00
7190,230442684,2019-03-23 16:01:09+00:00
9116,271575163,2019-03-18 12:17:53+00:00
9117,271575163,2019-03-18 14:37:54+00:00
9118,271575163,2019-03-18 22:47:54+00:00
9120,271575163,2019-03-19 00:27:51+00:00
9156,271575163,2019-03-19 13:47:48+00:00
9157,271575163,2019-03-19 14:57:49+00:00
17773,479911182,2019-03-14 10:47:10+00:00
17774,479911182,2019-03-14 15:47:10+00:00
17775,479911182,2019-03-14 17:02:11+00:00
17776,479911182,2019-03-14 18:17:11+00:00
18066,479911182,2019-03-19 09:32:09+00:00
18067,479911182,2019-03-19 10:47:09+00:00
18068,479911182,2019-03-19 12:02:09+00:00
18069,479911182,2019-03-19 14:32:09+00:00
18070,479911182,2019-03-19 15:47:09+00:00
18071,479911182,2019-03-19 17:02:09+00:00
18072,479911182,2019-03-19 18:17:09+00:00
18073,479911182,2019-03-19 19:32:09+00:00
18075,479911182,2019-03-19 20:32:09+00:00
25753,872300871,2019-03-26 09:15:21+00:00
25754,872300871,2019-03-26 10:25:21+00:00
25755,872300871,2019-03-26 11:35:21+00:00
25756,872300871,2019-03-26 13:55:20+00:00
25757,872300871,2019-03-26 15:10:20+00:00
25758,872300871,2019-03-26 16:25:20+00:00
25765,872300871,2019-03-26 19:52:32+00:00
25766,872300871,2019-03-26 21:07:32+00:00
25767,872300871,2019-03-26 22:22:32+00:00
25789,872300871,2019-03-27 08:37:32+00:00
25790,872300871,2019-03-27 13:37:32+00:00
25791,872300871,2019-03-27 14:52:32+00:00
25792,872300871,2019-03-27 17:22:32+00:00
25794,872300871,2019-03-27 22:07:32+00:00
25795,872300871,2019-03-27 23:22:32+00:00
25796,872300871,2019-03-28 00:37:32+00:00
25822,872300871,2019-03-28 09:07:32+00:00
25823,872300871,2019-03-28 11:37:32+00:00
25824,872300871,2019-03-28 12:52:32+00:00
25825,872300871,2019-03-28 14:07:32+00:00
25826,872300871,2019-03-28 15:22:32+00:00
25827,872300871,2019-03-28 16:37:32+00:00
25828,872300871,2019-03-28 17:52:32+00:00
25830,872300871,2019-03-28 22:17:33+00:00
25833,872300871,2019-03-28 23:27:33+00:00
26879,974587752,2019-03-12 18:00:12+00:00
26880,974587752,2019-03-12 19:15:12+00:00
26881,974587752,2019-03-12 20:30:12+00:00
26882,974587752,2019-03-12 21:45:11+00:00
26883,974587752,2019-03-13 00:10:17+00:00
26884,974587752,2019-03-13 01:20:12+00:00
26885,974587752,2019-03-13 02:30:18+00:00
26890,974587752,2019-03-13 03:40:12+00:00
27432,974587752,2019-03-18 18:12:23+00:00
27433,974587752,2019-03-18 20:37:24+00:00
27434,974587752,2019-03-18 21:52:22+00:00
27435,974587752,2019-03-19 02:32:24+00:00
27436,974587752,2019-03-19 03:42:23+00:00
27437,974587752,2019-03-19 04:52:27+00:00
27530,974587752,2019-03-20 08:52:22+00:00
27531,974587752,2019-03-20 11:12:27+00:00
27532,974587752,2019-03-20 12:22:28+00:00
27533,974587752,2019-03-20 14:42:22+00:00
