,device,when_captured
16,114699387,2019-08-07 14:00:01+00:00
17,114699387,2019-08-07 15:15:01+00:00
19,114699387,2019-08-07 17:45:01+00:00
41,114699387,2019-08-08 15:29:59+00:00
42,114699387,2019-08-08 17:50:00+00:00
43,114699387,2019-08-08 19:00:01+00:00
44,114699387,2019-08-08 20:10:01+00:00
45,114699387,2019-08-08 22:30:01+00:00
46,114699387,2019-08-08 23:40:01+00:00
63,114699387,2019-08-09 15:44:59+00:00
65,114699387,2019-08-10 00:00:01+00:00
67,114699387,2019-08-10 02:30:00+00:00
69,114699387,2019-08-10 06:00:00+00:00
70,114699387,2019-08-10 07:09:59+00:00
71,114699387,2019-08-10 09:30:00+00:00
72,114699387,2019-08-10 11:49:59+00:00
352,114699387,2019-08-13 03:19:57+00:00
353,114699387,2019-08-13 04:29:57+00:00
354,114699387,2019-08-13 05:39:57+00:00
355,114699387,2019-08-13 07:59:56+00:00
356,114699387,2019-08-13 10:19:56+00:00
357,114699387,2019-08-13 12:44:56+00:00
358,114699387,2019-08-13 13:59:55+00:00
422,114699387,2019-08-14 14:58:22+00:00
423,114699387,2019-08-14 17:28:22+00:00
424,114699387,2019-08-14 18:43:22+00:00
425,114699387,2019-08-14 19:58:22+00:00
426,114699387,2019-08-14 21:13:22+00:00
427,114699387,2019-08-14 22:28:22+00:00
428,114699387,2019-08-14 23:43:22+00:00
430,114699387,2019-08-15 03:13:22+00:00
431,114699387,2019-08-15 05:43:22+00:00
432,114699387,2019-08-15 09:28:26+00:00
433,114699387,2019-08-15 11:58:22+00:00
434,114699387,2019-08-15 14:13:21+00:00
762,114699387,2019-08-19 05:28:19+00:00
763,114699387,2019-08-19 08:58:19+00:00
764,114699387,2019-08-19 11:18:19+00:00
765,114699387,2019-08-19 12:28:19+00:00
766,114699387,2019-08-19 13:43:18+00:00
1145,114699387,2019-08-25 11:47:41+00:00
1146,114699387,2019-08-25 15:27:40+00:00
1147,114699387,2019-08-25 16:42:39+00:00
1472,114699387,2019-08-31 06:56:49+00:00
1473,114699387,2019-08-31 08:06:48+00:00
1474,114699387,2019-08-31 09:16:49+00:00
1475,114699387,2019-08-31 10:26:48+00:00
1476,114699387,2019-08-31 11:36:48+00:00
1477,114699387,2019-08-31 12:51:48+00:00
1478,114699387,2019-08-31 14:06:47+00:00
1479,114699387,2019-08-31 15:21:47+00:00
1480,114699387,2019-08-31 17:51:47+00:00
1505,129232559,2019-08-07 10:48:53+00:00
1506,129232559,2019-08-07 13:18:58+00:00
1509,129232559,2019-08-07 22:48:53+00:00
1510,129232559,2019-08-08 04:38:53+00:00
1511,129232559,2019-08-08 05:48:53+00:00
1513,129232559,2019-08-08 08:38:52+00:00
1588,129232559,2019-08-09 12:48:52+00:00
1590,129232559,2019-08-09 16:33:51+00:00
1591,129232559,2019-08-09 17:38:52+00:00
1592,129232559,2019-08-09 19:58:56+00:00
2000,129232559,2019-08-14 14:41:24+00:00
2001,129232559,2019-08-14 15:56:18+00:00
2002,129232559,2019-08-14 17:06:18+00:00
2003,129232559,2019-08-14 18:16:19+00:00
2005,129232559,2019-08-14 23:26:20+00:00
2347,129232559,2019-08-18 00:56:00+00:00
2352,129232559,2019-08-18 02:06:01+00:00
2702,129232559,2019-08-23 16:25:59+00:00
2703,129232559,2019-08-23 18:46:00+00:00
2704,129232559,2019-08-23 22:16:00+00:00
2705,129232559,2019-08-23 23:26:00+00:00
2706,129232559,2019-08-24 01:46:08+00:00
2708,129232559,2019-08-24 03:16:00+00:00
2709,129232559,2019-08-24 04:26:00+00:00
2710,129232559,2019-08-24 06:46:06+00:00
2711,129232559,2019-08-24 07:56:00+00:00
2713,129232559,2019-08-24 15:25:59+00:00
2714,129232559,2019-08-24 16:40:59+00:00
2715,129232559,2019-08-24 20:06:00+00:00
2717,129232559,2019-08-24 23:36:00+00:00
2917,129232559,2019-08-29 06:09:56+00:00
2920,129232559,2019-08-29 07:20:02+00:00
3166,154534971,2019-08-07 09:38:38+00:00
3168,154534971,2019-08-07 11:28:54+00:00
3169,154534971,2019-08-07 14:28:55+00:00
3170,154534971,2019-08-07 17:28:53+00:00
3171,154534971,2019-08-07 21:28:52+00:00
3172,154534971,2019-08-07 23:28:51+00:00
3173,154534971,2019-08-07 23:28:52+00:00
3174,154534971,2019-08-08 02:28:51+00:00
3175,154534971,2019-08-08 05:28:55+00:00
3176,154534971,2019-08-08 12:28:52+00:00
3177,154534971,2019-08-10 09:18:38+00:00
3180,154534971,2019-08-10 11:38:52+00:00
3181,154534971,2019-08-10 12:38:52+00:00
3182,154534971,2019-08-10 13:38:50+00:00
3183,154534971,2019-08-10 14:38:52+00:00
3184,154534971,2019-08-10 16:38:52+00:00
3185,154534971,2019-08-10 17:38:52+00:00
3186,154534971,2019-08-10 18:38:52+00:00
3187,154534971,2019-08-10 19:38:52+00:00
3188,154534971,2019-08-10 20:38:51+00:00
3190,154534971,2019-08-10 22:28:52+00:00
3191,154534971,2019-08-10 23:28:51+00:00
3192,154534971,2019-08-11 03:28:51+00:00
3193,154534971,2019-08-11 04:28:51+00:00
3194,154534971,2019-08-11 05:28:51+00:00
3195,154534971,2019-08-11 08:28:51+00:00
4099,154534971,2019-08-29 12:23:37+00:00
4100,154534971,2019-08-29 13:23:38+00:00
4101,154534971,2019-08-29 14:23:35+00:00
4102,154534971,2019-08-29 19:23:38+00:00
4106,154534971,2019-08-29 23:43:39+00:00
4107,154534971,2019-08-30 00:43:39+00:00
4108,154534971,2019-08-30 02:43:39+00:00
4109,154534971,2019-08-30 03:43:39+00:00
4110,154534971,2019-08-30 04:43:39+00:00
4111,154534971,2019-08-30 05:43:38+00:00
4112,154534971,2019-08-30 07:43:38+00:00
4115,154534971,2019-08-30 10:53:37+00:00
4116,154534971,2019-08-30 11:53:42+00:00
4117,154534971,2019-08-30 12:53:37+00:00
4118,154534971,2019-08-30 14:53:37+00:00
4119,154534971,2019-08-30 15:53:37+00:00
4120,154534971,2019-08-30 16:53:37+00:00
4121,154534971,2019-08-30 17:53:37+00:00
4122,154534971,2019-08-30 18:53:37+00:00
4123,154534971,2019-08-30 19:53:37+00:00
4124,154534971,2019-08-30 20:53:41+00:00
4125,154534971,2019-08-30 21:53:41+00:00
4126,154534971,2019-08-30 22:53:37+00:00
4127,154534971,2019-08-30 23:53:37+00:00
4128,154534971,2019-08-31 00:53:37+00:00
4129,154534971,2019-08-31 03:53:41+00:00
4130,154534971,2019-08-31 04:53:24+00:00
4131,154534971,2019-08-31 07:53:36+00:00
4132,154534971,2019-08-31 08:53:41+00:00
