,device,when_captured
217,114699387,2019-10-03 10:22:14+00:00
218,114699387,2019-10-03 12:52:14+00:00
219,114699387,2019-10-03 14:07:13+00:00
220,114699387,2019-10-03 14:07:14+00:00
221,114699387,2019-10-03 15:22:14+00:00
222,114699387,2019-10-03 16:37:14+00:00
223,114699387,2019-10-03 17:52:14+00:00
224,114699387,2019-10-03 20:17:15+00:00
225,114699387,2019-10-03 22:27:15+00:00
227,114699387,2019-10-03 23:37:15+00:00
625,114699387,2019-10-09 00:37:08+00:00
626,114699387,2019-10-09 01:52:08+00:00
697,114699387,2019-10-11 21:39:17+00:00
698,114699387,2019-10-11 22:39:17+00:00
746,114699387,2019-10-12 12:09:17+00:00
747,114699387,2019-10-12 13:24:16+00:00
748,114699387,2019-10-12 13:24:17+00:00
749,114699387,2019-10-12 14:39:17+00:00
750,114699387,2019-10-12 15:54:16+00:00
751,114699387,2019-10-12 17:09:19+00:00
752,114699387,2019-10-12 18:24:16+00:00
753,114699387,2019-10-12 19:39:16+00:00
755,114699387,2019-10-12 20:54:17+00:00
756,114699387,2019-10-12 22:09:16+00:00
757,114699387,2019-10-12 23:09:16+00:00
1952,114699387,2019-10-27 01:59:24+00:00
1970,114699387,2019-10-27 14:14:24+00:00
1971,114699387,2019-10-27 15:29:23+00:00
1972,114699387,2019-10-27 16:44:23+00:00
1973,114699387,2019-10-27 17:59:23+00:00
1974,114699387,2019-10-27 19:14:23+00:00
1975,114699387,2019-10-27 20:29:23+00:00
1976,114699387,2019-10-27 21:44:23+00:00
1977,114699387,2019-10-27 22:59:23+00:00
1978,114699387,2019-10-28 00:14:23+00:00
1979,114699387,2019-10-28 01:14:22+00:00
2110,114699387,2019-10-30 03:29:21+00:00
2111,114699387,2019-10-30 04:44:21+00:00
2112,114699387,2019-10-30 05:59:20+00:00
2113,114699387,2019-10-30 07:14:21+00:00
2114,114699387,2019-10-30 09:44:20+00:00
2115,114699387,2019-10-30 10:59:20+00:00
2182,114699387,2019-10-31 13:30:32+00:00
2184,114699387,2019-10-31 14:45:32+00:00
2185,114699387,2019-10-31 16:00:32+00:00
2186,114699387,2019-10-31 17:15:31+00:00
2187,114699387,2019-10-31 18:30:32+00:00
2192,114699387,2019-10-31 23:30:32+00:00
2580,129232559,2019-10-05 12:30:36+00:00
2581,129232559,2019-10-05 13:45:37+00:00
2582,129232559,2019-10-05 15:00:42+00:00
2583,129232559,2019-10-05 18:30:38+00:00
2584,129232559,2019-10-05 19:40:37+00:00
2585,129232559,2019-10-05 20:50:37+00:00
2586,129232559,2019-10-05 23:10:37+00:00
2889,129232559,2019-10-10 15:26:10+00:00
2890,129232559,2019-10-10 20:06:05+00:00
2894,129232559,2019-10-11 02:06:05+00:00
4300,129232559,2019-10-24 14:00:43+00:00
4301,129232559,2019-10-24 16:30:43+00:00
4302,129232559,2019-10-24 17:35:43+00:00
4303,129232559,2019-10-24 21:05:44+00:00
4304,129232559,2019-10-24 22:15:44+00:00
4305,129232559,2019-10-24 23:25:50+00:00
4306,129232559,2019-10-25 00:35:44+00:00
4308,129232559,2019-10-25 02:15:44+00:00
4309,129232559,2019-10-25 03:25:44+00:00
4310,129232559,2019-10-25 04:35:50+00:00
4311,129232559,2019-10-25 05:45:44+00:00
4312,129232559,2019-10-25 06:55:44+00:00
4313,129232559,2019-10-25 12:45:43+00:00
4387,129232559,2019-10-26 14:45:43+00:00
4389,129232559,2019-10-26 21:55:44+00:00
4390,129232559,2019-10-26 23:05:44+00:00
4391,129232559,2019-10-27 01:25:44+00:00
4393,129232559,2019-10-27 03:55:44+00:00
4395,129232559,2019-10-27 08:35:50+00:00
4699,129232559,2019-10-31 02:37:57+00:00
4700,129232559,2019-10-31 03:47:57+00:00
4701,129232559,2019-10-31 04:57:57+00:00
4702,129232559,2019-10-31 07:18:03+00:00
4703,129232559,2019-10-31 08:22:56+00:00
4704,129232559,2019-10-31 09:37:56+00:00
4705,129232559,2019-10-31 10:52:56+00:00
4706,129232559,2019-10-31 12:07:56+00:00
4707,129232559,2019-10-31 13:22:57+00:00
4709,129232559,2019-10-31 16:07:56+00:00
4710,129232559,2019-10-31 17:22:56+00:00
4711,129232559,2019-10-31 19:37:57+00:00
4712,129232559,2019-10-31 20:47:57+00:00
4713,129232559,2019-10-31 23:07:57+00:00
4714,154534971,2019-10-01 01:53:53+00:00
4715,154534971,2019-10-01 04:53:53+00:00
4719,154534971,2019-10-01 08:14:52+00:00
4720,154534971,2019-10-01 09:14:52+00:00
4721,154534971,2019-10-01 10:14:52+00:00
4723,154534971,2019-10-03 03:29:50+00:00
4724,154534971,2019-10-03 06:29:49+00:00
4725,154534971,2019-10-03 07:29:48+00:00
4726,154534971,2019-10-03 08:29:48+00:00
4727,154534971,2019-10-03 09:29:50+00:00
4728,154534971,2019-10-03 10:29:50+00:00
4729,154534971,2019-10-03 12:29:50+00:00
4731,154534971,2019-10-03 14:29:49+00:00
4732,154534971,2019-10-03 16:29:48+00:00
4733,154534971,2019-10-03 21:29:49+00:00
4734,154534971,2019-10-03 22:29:49+00:00
4735,154534971,2019-10-03 23:29:49+00:00
4736,154534971,2019-10-04 00:29:49+00:00
4738,154534971,2019-10-04 02:29:49+00:00
4739,154534971,2019-10-04 05:29:49+00:00
4740,154534971,2019-10-05 08:29:37+00:00
4744,154534971,2019-10-05 09:49:49+00:00
4745,154534971,2019-10-05 12:49:47+00:00
4746,154534971,2019-10-05 14:49:49+00:00
4747,154534971,2019-10-05 15:49:49+00:00
4748,154534971,2019-10-05 18:49:48+00:00
4750,154534971,2019-10-05 21:39:50+00:00
4751,154534971,2019-10-05 23:39:49+00:00
4752,154534971,2019-10-06 00:39:48+00:00
4753,154534971,2019-10-06 03:39:50+00:00
4754,154534971,2019-10-06 04:40:35+00:00
4755,154534971,2019-10-06 05:39:52+00:00
4756,154534971,2019-10-06 06:39:52+00:00
4757,154534971,2019-10-06 07:39:53+00:00
4759,154534971,2019-10-06 09:39:50+00:00
4760,154534971,2019-10-06 10:39:52+00:00
4761,154534971,2019-10-06 11:39:49+00:00
4762,154534971,2019-10-06 13:39:48+00:00
