,device,when_captured
345,114699387,2020-04-03 22:43:09+00:00
352,114699387,2020-04-03 23:47:38+00:00
353,114699387,2020-04-04 00:03:08+00:00
355,114699387,2020-04-04 00:58:30+00:00
361,114699387,2020-04-04 01:45:56+00:00
369,114699387,2020-04-04 02:52:54+00:00
893,114699387,2020-04-08 23:58:51+00:00
894,114699387,2020-04-09 01:08:46+00:00
1078,114699387,2020-04-10 21:47:18+00:00
1090,114699387,2020-04-10 23:21:50+00:00
1099,114699387,2020-04-11 00:46:02+00:00
1107,114699387,2020-04-11 01:58:09+00:00
1111,114699387,2020-04-11 02:26:50+00:00
1281,114699387,2020-04-13 03:10:16+00:00
1282,114699387,2020-04-13 03:10:37+00:00
1283,114699387,2020-04-13 03:11:28+00:00
1284,114699387,2020-04-13 03:12:37+00:00
1285,114699387,2020-04-13 03:13:37+00:00
1286,114699387,2020-04-13 03:14:46+00:00
1291,114699387,2020-04-13 04:17:05+00:00
1292,114699387,2020-04-13 05:16:26+00:00
1293,114699387,2020-04-13 06:31:26+00:00
1294,114699387,2020-04-13 07:46:26+00:00
1295,114699387,2020-04-13 09:01:26+00:00
1297,114699387,2020-04-13 10:01:26+00:00
1607,114699387,2020-04-16 09:56:11+00:00
1613,114699387,2020-04-16 11:09:05+00:00
1619,114699387,2020-04-16 12:29:12+00:00
1626,114699387,2020-04-16 13:54:36+00:00
1627,114699387,2020-04-16 15:06:51+00:00
1628,114699387,2020-04-16 16:20:11+00:00
1629,114699387,2020-04-16 17:47:47+00:00
1630,114699387,2020-04-16 19:08:30+00:00
1631,114699387,2020-04-16 20:05:08+00:00
1632,114699387,2020-04-16 21:20:08+00:00
1685,114699387,2020-04-17 10:49:08+00:00
1686,114699387,2020-04-17 11:08:55+00:00
1687,114699387,2020-04-17 12:23:11+00:00
1688,114699387,2020-04-17 13:45:51+00:00
1689,114699387,2020-04-17 15:00:52+00:00
1690,114699387,2020-04-17 16:13:46+00:00
1691,114699387,2020-04-17 17:21:35+00:00
1692,114699387,2020-04-17 18:34:56+00:00
1693,114699387,2020-04-17 19:43:11+00:00
1694,114699387,2020-04-17 20:53:46+00:00
1697,114699387,2020-04-17 22:03:45+00:00
2020,129232559,2020-04-01 00:25:41+00:00
2022,129232559,2020-04-01 02:45:02+00:00
2035,129232559,2020-04-01 10:08:20+00:00
2036,129232559,2020-04-01 11:38:58+00:00
2040,129232559,2020-04-01 13:45:39+00:00
2046,129232559,2020-04-01 15:29:41+00:00
2055,129232559,2020-04-01 17:25:09+00:00
2058,129232559,2020-04-01 18:50:29+00:00
2060,129232559,2020-04-01 20:18:54+00:00
2061,129232559,2020-04-01 21:55:40+00:00
2063,129232559,2020-04-01 22:18:43+00:00
2091,129232559,2020-04-02 20:16:00+00:00
2096,129232559,2020-04-03 02:19:56+00:00
2117,129232559,2020-04-03 15:50:04+00:00
2118,129232559,2020-04-03 18:17:19+00:00
2119,129232559,2020-04-03 20:26:16+00:00
2120,129232559,2020-04-03 22:02:26+00:00
2123,129232559,2020-04-04 02:18:42+00:00
2126,129232559,2020-04-04 06:00:03+00:00
2130,129232559,2020-04-04 19:15:03+00:00
2136,129232559,2020-04-05 02:28:26+00:00
2157,129232559,2020-04-05 13:13:45+00:00
2158,129232559,2020-04-05 13:16:01+00:00
2159,129232559,2020-04-05 14:31:04+00:00
2181,129232559,2020-04-06 07:29:39+00:00
2182,129232559,2020-04-06 07:32:28+00:00
2184,129232559,2020-04-06 11:46:53+00:00
2186,129232559,2020-04-06 12:58:04+00:00
2187,129232559,2020-04-06 13:48:37+00:00
2188,129232559,2020-04-06 15:01:06+00:00
2190,129232559,2020-04-06 19:21:11+00:00
2207,129232559,2020-04-07 08:17:25+00:00
2209,129232559,2020-04-07 12:02:25+00:00
2216,129232559,2020-04-07 22:05:04+00:00
2217,129232559,2020-04-08 00:32:25+00:00
2218,129232559,2020-04-08 03:01:09+00:00
2259,129232559,2020-04-08 23:35:06+00:00
2264,129232559,2020-04-09 04:14:18+00:00
2283,129232559,2020-04-09 15:06:40+00:00
2284,129232559,2020-04-09 17:33:57+00:00
2317,129232559,2020-04-10 18:20:24+00:00
2318,129232559,2020-04-10 20:38:26+00:00
2332,129232559,2020-04-11 08:49:05+00:00
2333,129232559,2020-04-11 11:20:24+00:00
2334,129232559,2020-04-11 16:23:13+00:00
2335,129232559,2020-04-11 17:34:10+00:00
2357,129232559,2020-04-12 05:21:59+00:00
2359,129232559,2020-04-12 08:49:05+00:00
2370,129232559,2020-04-12 14:46:15+00:00
2373,129232559,2020-04-12 15:52:00+00:00
2374,129232559,2020-04-12 15:52:01+00:00
2466,129232559,2020-04-14 07:23:44+00:00
2467,129232559,2020-04-14 09:32:06+00:00
2469,129232559,2020-04-14 11:36:44+00:00
2472,129232559,2020-04-14 22:40:12+00:00
2505,129232559,2020-04-16 04:34:42+00:00
2542,129232559,2020-04-17 02:57:15+00:00
2543,129232559,2020-04-17 10:49:09+00:00
2545,129232559,2020-04-17 12:49:06+00:00
2548,129232559,2020-04-17 15:34:10+00:00
2549,129232559,2020-04-17 18:58:53+00:00
2553,129232559,2020-04-18 01:04:07+00:00
2560,129232559,2020-04-18 05:53:25+00:00
2568,129232559,2020-04-18 17:46:46+00:00
2569,129232559,2020-04-19 00:28:10+00:00
2581,129232559,2020-04-19 05:08:42+00:00
2582,129232559,2020-04-19 11:28:07+00:00
2584,129232559,2020-04-19 15:01:15+00:00
2587,129232559,2020-04-19 16:08:44+00:00
2589,129232559,2020-04-19 20:30:37+00:00
2590,129232559,2020-04-19 21:42:35+00:00
2591,129232559,2020-04-19 23:44:44+00:00
2648,154534971,2020-04-17 14:55:22+00:00
2649,154534971,2020-04-17 15:29:47+00:00
2650,154534971,2020-04-17 16:39:11+00:00
2651,154534971,2020-04-17 17:38:13+00:00
2652,154534971,2020-04-17 18:07:07+00:00
2653,154534971,2020-04-17 18:56:11+00:00
2654,154534971,2020-04-17 19:24:28+00:00
2655,154534971,2020-04-17 20:27:10+00:00
2656,154534971,2020-04-17 21:29:47+00:00
2657,154534971,2020-04-17 22:23:24+00:00
2658,154534971,2020-04-17 22:58:01+00:00
2659,154534971,2020-04-18 00:02:15+00:00
2660,154534971,2020-04-18 01:08:14+00:00
2661,154534971,2020-04-18 01:54:36+00:00
2662,154534971,2020-04-18 02:47:12+00:00
2663,154534971,2020-04-18 03:27:07+00:00
2664,154534971,2020-04-18 04:38:51+00:00
2665,154534971,2020-04-18 05:48:52+00:00
2666,154534971,2020-04-18 06:46:48+00:00
2667,154534971,2020-04-18 08:01:20+00:00
2668,154534971,2020-04-18 09:01:48+00:00
2669,154534971,2020-04-18 09:43:13+00:00
2671,154534971,2020-04-18 11:04:25+00:00
2672,154534971,2020-04-18 12:28:01+00:00
2673,154534971,2020-04-18 13:19:00+00:00
2674,154534971,2020-04-18 14:31:21+00:00
2675,154534971,2020-04-18 15:37:06+00:00
2676,154534971,2020-04-18 16:14:24+00:00
2677,154534971,2020-04-18 17:24:24+00:00
2678,154534971,2020-04-18 18:29:46+00:00
2679,154534971,2020-04-18 19:44:47+00:00
2680,154534971,2020-04-18 20:41:54+00:00
2681,154534971,2020-04-18 21:51:23+00:00
2682,154534971,2020-04-18 22:39:26+00:00
2868,230442684,2020-04-13 20:27:09+00:00
3096,479911182,2020-04-01 01:24:52+00:00
3100,479911182,2020-04-01 02:58:58+00:00
3101,479911182,2020-04-01 03:24:35+00:00
3102,479911182,2020-04-01 09:54:36+00:00
3104,479911182,2020-04-01 11:41:11+00:00
3588,479911182,2020-04-07 03:49:35+00:00
3598,479911182,2020-04-07 05:24:18+00:00
3604,479911182,2020-04-07 07:17:59+00:00
3627,479911182,2020-04-07 14:04:16+00:00
3628,479911182,2020-04-07 15:48:40+00:00
4868,479911182,2020-04-20 20:47:04+00:00
4871,479911182,2020-04-20 21:46:20+00:00
4877,479911182,2020-04-20 23:06:12+00:00
12726,872300871,2020-04-02 18:59:46+00:00
12732,872300871,2020-04-02 20:22:14+00:00
12738,872300871,2020-04-02 21:32:06+00:00
12744,872300871,2020-04-02 22:47:55+00:00
12748,872300871,2020-04-03 00:44:03+00:00
12749,872300871,2020-04-03 01:59:02+00:00
12750,872300871,2020-04-03 03:14:30+00:00
12751,872300871,2020-04-03 04:29:03+00:00
12752,872300871,2020-04-03 05:44:02+00:00
12754,872300871,2020-04-03 06:44:30+00:00
12820,872300871,2020-04-03 22:56:33+00:00
12825,872300871,2020-04-03 23:48:01+00:00
12827,872300871,2020-04-04 00:07:54+00:00
12832,872300871,2020-04-04 01:01:46+00:00
12834,872300871,2020-04-04 02:00:34+00:00
12835,872300871,2020-04-04 02:29:02+00:00
12841,872300871,2020-04-04 05:00:21+00:00
12853,872300871,2020-04-04 07:37:54+00:00
12858,872300871,2020-04-04 08:36:14+00:00
12864,872300871,2020-04-04 09:57:54+00:00
12871,872300871,2020-04-04 11:28:40+00:00
12879,872300871,2020-04-04 13:00:35+00:00
12882,872300871,2020-04-04 13:48:40+00:00
12883,872300871,2020-04-04 14:44:03+00:00
12894,872300871,2020-04-04 18:29:02+00:00
12896,872300871,2020-04-04 19:29:33+00:00
12899,872300871,2020-04-04 19:49:47+00:00
12904,872300871,2020-04-04 20:57:53+00:00
12910,872300871,2020-04-04 22:07:53+00:00
13322,872300871,2020-04-09 20:56:45+00:00
13328,872300871,2020-04-09 22:11:45+00:00
13329,872300871,2020-04-09 22:11:46+00:00
13335,872300871,2020-04-09 23:22:00+00:00
13341,872300871,2020-04-10 00:32:00+00:00
13347,872300871,2020-04-10 02:51:59+00:00
13348,872300871,2020-04-10 02:57:49+00:00
13386,872300871,2020-04-10 16:59:28+00:00
13393,872300871,2020-04-10 19:12:25+00:00
13395,872300871,2020-04-10 19:36:49+00:00
