,device,when_captured
19847,1094924990,2020-01-03 05:02:08+00:00
19848,1094924990,2020-01-03 06:17:08+00:00
19934,1094924990,2020-01-04 21:05:21+00:00
19935,1094924990,2020-01-04 22:06:49+00:00
19936,1094924990,2020-01-05 00:02:11+00:00
19937,1094924990,2020-01-05 00:37:31+00:00
19938,1094924990,2020-01-05 01:53:47+00:00
19939,1094924990,2020-01-05 03:15:35+00:00
19940,1094924990,2020-01-05 04:30:35+00:00
19941,1094924990,2020-01-05 05:45:35+00:00
19942,1094924990,2020-01-05 06:54:14+00:00
19944,1094924990,2020-01-05 08:04:21+00:00
33090,1875225345,2020-01-25 14:15:47+00:00
33091,1875225345,2020-01-25 15:25:48+00:00
33092,1875225345,2020-01-25 16:30:47+00:00
33093,1875225345,2020-01-25 17:45:46+00:00
33094,1875225345,2020-01-25 19:00:47+00:00
33095,1875225345,2020-01-25 20:15:55+00:00
33096,1875225345,2020-01-25 21:30:56+00:00
33097,1875225345,2020-01-25 22:45:46+00:00
33098,1875225345,2020-01-26 00:00:55+00:00
33100,1875225345,2020-01-26 01:15:47+00:00
33736,2152053642,2020-01-08 20:49:36+00:00
33800,2152053642,2020-01-14 18:44:49+00:00
33801,2152053642,2020-01-14 21:14:52+00:00
34028,2152053642,2020-01-25 19:34:53+00:00
34029,2152053642,2020-01-25 20:48:49+00:00
34030,2152053642,2020-01-25 22:03:40+00:00
34031,2152053642,2020-01-25 23:18:40+00:00
34032,2152053642,2020-01-26 00:33:49+00:00
36260,2299238163,2020-01-25 07:49:48+00:00
36261,2299238163,2020-01-25 09:04:48+00:00
36262,2299238163,2020-01-25 10:19:48+00:00
36263,2299238163,2020-01-25 12:49:48+00:00
36264,2299238163,2020-01-25 14:04:48+00:00
36265,2299238163,2020-01-25 15:19:48+00:00
41872,2670856639,2020-01-12 11:46:19+00:00
41873,2670856639,2020-01-12 13:01:17+00:00
41874,2670856639,2020-01-12 14:16:17+00:00
41875,2670856639,2020-01-12 15:31:18+00:00
41876,2670856639,2020-01-12 18:01:18+00:00
41877,2670856639,2020-01-12 19:16:24+00:00
41878,2670856639,2020-01-12 21:46:17+00:00
41880,2670856639,2020-01-12 22:46:17+00:00
56070,3768313999,2020-01-12 23:10:18+00:00
56071,3768313999,2020-01-13 00:20:40+00:00
56072,3768313999,2020-01-13 01:30:24+00:00
56073,3768313999,2020-01-13 02:40:18+00:00
56074,3768313999,2020-01-13 03:50:25+00:00
56075,3768313999,2020-01-13 05:00:25+00:00
56076,3768313999,2020-01-13 06:10:17+00:00
56077,3768313999,2020-01-13 07:20:24+00:00
56078,3768313999,2020-01-13 09:30:21+00:00
56080,3768313999,2020-01-13 10:10:25+00:00
