,device,when_captured
144,114699387,2019-11-03 04:00:29+00:00
145,114699387,2019-11-03 10:15:28+00:00
146,114699387,2019-11-03 13:45:28+00:00
250,114699387,2019-11-05 03:45:27+00:00
251,114699387,2019-11-05 06:15:26+00:00
252,114699387,2019-11-05 07:30:26+00:00
253,114699387,2019-11-05 10:00:26+00:00
254,114699387,2019-11-05 10:00:27+00:00
255,114699387,2019-11-05 11:15:26+00:00
256,114699387,2019-11-05 12:30:26+00:00
257,114699387,2019-11-05 14:45:26+00:00
291,114699387,2019-11-06 06:45:25+00:00
292,114699387,2019-11-06 09:15:25+00:00
321,114699387,2019-11-15 21:59:39+00:00
322,114699387,2019-11-15 23:14:39+00:00
323,114699387,2019-11-16 00:29:38+00:00
324,114699387,2019-11-16 01:44:38+00:00
325,114699387,2019-11-16 02:44:38+00:00
1739,129232559,2019-11-01 01:27:57+00:00
1915,129232559,2019-11-03 03:37:58+00:00
1916,129232559,2019-11-03 04:47:58+00:00
1917,129232559,2019-11-03 05:57:58+00:00
1918,129232559,2019-11-03 08:18:01+00:00
1921,129232559,2019-11-03 09:23:04+00:00
1922,129232559,2019-11-03 11:52:57+00:00
1923,129232559,2019-11-03 13:07:57+00:00
1926,129232559,2019-11-03 16:27:10+00:00
1927,129232559,2019-11-03 17:42:15+00:00
1928,129232559,2019-11-03 20:02:11+00:00
1929,129232559,2019-11-03 21:12:11+00:00
1930,129232559,2019-11-03 22:22:11+00:00
1931,129232559,2019-11-03 23:32:11+00:00
2144,129232559,2019-11-15 22:25:23+00:00
2145,129232559,2019-11-15 23:35:21+00:00
2147,129232559,2019-11-16 00:45:20+00:00
3132,129232559,2019-11-24 11:11:32+00:00
3134,129232559,2019-11-24 15:35:44+00:00
3135,129232559,2019-11-24 16:50:53+00:00
3136,129232559,2019-11-24 19:10:53+00:00
3137,129232559,2019-11-24 20:21:14+00:00
3138,129232559,2019-11-24 21:31:13+00:00
3139,129232559,2019-11-24 22:41:13+00:00
3140,129232559,2019-11-24 23:51:09+00:00
3143,129232559,2019-11-25 01:01:07+00:00
3942,154534971,2019-11-15 22:29:50+00:00
3943,154534971,2019-11-15 23:29:49+00:00
3944,154534971,2019-11-16 00:29:49+00:00
3945,154534971,2019-11-16 01:29:49+00:00
3946,154534971,2019-11-16 02:29:49+00:00
3947,154534971,2019-11-16 03:29:49+00:00
3948,154534971,2019-11-16 04:29:49+00:00
3949,154534971,2019-11-16 04:29:50+00:00
3950,154534971,2019-11-16 05:29:51+00:00
3951,154534971,2019-11-16 06:29:49+00:00
3952,154534971,2019-11-16 07:29:49+00:00
3953,154534971,2019-11-16 08:19:49+00:00
3974,230442684,2019-11-02 20:08:09+00:00
3975,230442684,2019-11-02 21:23:09+00:00
3976,230442684,2019-11-02 22:38:10+00:00
3977,230442684,2019-11-02 23:53:09+00:00
3978,230442684,2019-11-03 01:08:15+00:00
3979,230442684,2019-11-03 02:23:09+00:00
3980,230442684,2019-11-03 03:38:10+00:00
3981,230442684,2019-11-03 06:08:10+00:00
4585,374304606,2019-11-01 17:58:27+00:00
4586,374304606,2019-11-01 20:28:28+00:00
4587,374304606,2019-11-01 21:43:29+00:00
4588,374304606,2019-11-02 01:28:28+00:00
4589,374304606,2019-11-02 03:58:30+00:00
4591,374304606,2019-11-02 04:58:28+00:00
4876,374304606,2019-11-05 16:20:41+00:00
4877,374304606,2019-11-05 18:40:43+00:00
4922,374304606,2019-11-06 07:30:45+00:00
4967,374304606,2019-11-15 21:20:43+00:00
4968,374304606,2019-11-15 22:35:42+00:00
4969,374304606,2019-11-15 23:45:58+00:00
4970,374304606,2019-11-16 00:55:43+00:00
4971,374304606,2019-11-16 02:05:43+00:00
4972,374304606,2019-11-16 03:15:45+00:00
4973,374304606,2019-11-16 04:25:43+00:00
4974,374304606,2019-11-16 05:35:43+00:00
4975,374304606,2019-11-16 06:45:43+00:00
6407,479911182,2019-11-05 06:14:24+00:00
6408,479911182,2019-11-05 08:44:24+00:00
6409,479911182,2019-11-05 14:59:23+00:00
6410,479911182,2019-11-05 16:14:24+00:00
6412,479911182,2019-11-05 17:14:23+00:00
10529,872300871,2019-11-01 01:17:28+00:00
10531,872300871,2019-11-01 02:17:28+00:00
10815,872300871,2019-11-15 22:14:51+00:00
10816,872300871,2019-11-15 23:29:51+00:00
10817,872300871,2019-11-16 00:44:51+00:00
10818,872300871,2019-11-16 01:59:51+00:00
10819,872300871,2019-11-16 03:14:51+00:00
10821,872300871,2019-11-16 04:16:56+00:00
11610,974587752,2019-11-04 00:46:43+00:00
11724,974587752,2019-11-05 09:26:41+00:00
11725,974587752,2019-11-05 10:36:46+00:00
11726,974587752,2019-11-05 15:16:46+00:00
11727,974587752,2019-11-05 16:26:46+00:00
11728,974587752,2019-11-05 17:36:45+00:00
11729,974587752,2019-11-05 18:51:47+00:00
11730,974587752,2019-11-05 20:06:45+00:00
11732,974587752,2019-11-05 21:36:45+00:00
11733,974587752,2019-11-05 22:51:40+00:00
11734,974587752,2019-11-06 01:06:42+00:00
11735,974587752,2019-11-06 02:17:10+00:00
11736,974587752,2019-11-06 03:26:41+00:00
11737,974587752,2019-11-06 04:36:46+00:00
11741,974587752,2019-11-06 08:06:46+00:00
11743,974587752,2019-11-06 11:57:18+00:00
11744,974587752,2019-11-06 13:06:46+00:00
11745,974587752,2019-11-06 15:26:46+00:00
11746,974587752,2019-11-06 16:36:42+00:00
11747,974587752,2019-11-06 19:06:40+00:00
12726,974587752,2019-11-24 12:55:15+00:00
12727,974587752,2019-11-24 19:10:23+00:00
12728,974587752,2019-11-24 20:25:31+00:00
12729,974587752,2019-11-24 21:40:31+00:00
12730,974587752,2019-11-24 22:55:31+00:00
13397,1045649384,2019-11-01 12:15:46+00:00
13743,1045649384,2019-11-06 01:46:10+00:00
15574,1094924990,2019-11-15 21:33:22+00:00
15575,1094924990,2019-11-15 22:48:27+00:00
15576,1094924990,2019-11-16 00:03:21+00:00
15577,1094924990,2019-11-16 01:18:21+00:00
15578,1094924990,2019-11-16 02:33:21+00:00
15580,1094924990,2019-11-16 03:48:21+00:00
15581,1094924990,2019-11-16 05:03:27+00:00
15582,1094924990,2019-11-16 06:18:21+00:00
15584,1094924990,2019-11-16 07:18:21+00:00
17369,1162749983,2019-11-15 21:33:02+00:00
17370,1162749983,2019-11-15 22:43:07+00:00
17371,1162749983,2019-11-15 23:53:01+00:00
17372,1162749983,2019-11-16 01:03:06+00:00
17373,1162749983,2019-11-16 02:13:01+00:00
17374,1162749983,2019-11-16 03:23:06+00:00
17375,1162749983,2019-11-16 04:33:06+00:00
17376,1162749983,2019-11-16 05:02:59+00:00
19599,1238569003,2019-11-03 12:53:08+00:00
19600,1238569003,2019-11-03 14:08:08+00:00
19601,1238569003,2019-11-03 16:38:08+00:00
19602,1238569003,2019-11-03 17:53:08+00:00
19603,1238569003,2019-11-03 20:23:08+00:00
19604,1238569003,2019-11-03 21:38:08+00:00
19605,1238569003,2019-11-03 22:53:08+00:00
19607,1238569003,2019-11-04 00:23:04+00:00
19608,1238569003,2019-11-04 01:38:08+00:00
19609,1238569003,2019-11-04 04:08:08+00:00
19610,1238569003,2019-11-04 07:53:07+00:00
19611,1238569003,2019-11-04 10:23:03+00:00
19613,1238569003,2019-11-04 11:23:04+00:00
19781,1238569003,2019-11-15 21:39:25+00:00
19782,1238569003,2019-11-15 22:54:26+00:00
19783,1238569003,2019-11-16 00:09:25+00:00
19784,1238569003,2019-11-16 01:24:25+00:00
19785,1238569003,2019-11-16 02:39:27+00:00
19787,1238569003,2019-11-16 03:39:25+00:00
20546,1238569003,2019-11-24 06:48:17+00:00
20547,1238569003,2019-11-24 08:03:17+00:00
20548,1238569003,2019-11-24 09:18:17+00:00
20549,1238569003,2019-11-24 13:03:18+00:00
20550,1238569003,2019-11-24 14:18:17+00:00
20551,1238569003,2019-11-24 16:48:25+00:00
20553,1238569003,2019-11-24 20:48:36+00:00
20554,1238569003,2019-11-24 22:03:35+00:00
20556,1238569003,2019-11-24 23:18:37+00:00
20557,1238569003,2019-11-25 00:33:35+00:00
20558,1238569003,2019-11-25 01:49:56+00:00
20559,1238569003,2019-11-25 03:04:56+00:00
20560,1238569003,2019-11-25 04:19:55+00:00
20563,1238569003,2019-11-25 05:20:18+00:00
21151,1875225345,2019-11-01 01:39:46+00:00
21152,1875225345,2019-11-01 02:54:46+00:00
21156,1875225345,2019-11-01 04:09:41+00:00
