,when_captured,device_urn,device_sn,device,loc_lat,loc_lon,env_temp,env_humid,pms_pm01_0,pms_pm02_5,pms_pm10_0,lnd_7318c,lnd_7318u,bat_voltage,year,KEY_Dev_WhenCapt
14765,2020-06-01 00:02:21+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.636,,,,,,25.0,26,,2020,"(678194983, Timestamp('2020-06-01 00:02:21+0000', tz='UTC'))"
14764,2020-06-01 00:05:51+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-06-01 00:05:51+0000', tz='UTC'))"
14763,2020-06-01 00:06:37+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,3.846,2020,"(678194983, Timestamp('2020-06-01 00:06:37+0000', tz='UTC'))"
14761,2020-06-01 00:11:56+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,25,,2020,"(3714913954, Timestamp('2020-06-01 00:11:56+0000', tz='UTC'))"
14760,2020-06-01 00:12:02+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,25,,2020,"(3714913954, Timestamp('2020-06-01 00:12:02+0000', tz='UTC'))"
14759,2020-06-01 00:12:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,5.0,6.0,6.0,,,,2020,"(3714913954, Timestamp('2020-06-01 00:12:23+0000', tz='UTC'))"
14758,2020-06-01 00:12:33+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-06-01 00:12:33+0000', tz='UTC'))"
14757,2020-06-01 00:12:52+00:00,safecast:230442684,Solarcast #30016,230442684,34.122,-118.26100000000001,,,,,,,32,3.583,2020,"(230442684, Timestamp('2020-06-01 00:12:52+0000', tz='UTC'))"
14756,2020-06-01 00:25:05+00:00,safecast:4249659165,Solarcast #30018,4249659165,34.132,-118.84200000000001,,,,,,29.0,36,3.608,2020,"(4249659165, Timestamp('2020-06-01 00:25:05+0000', tz='UTC'))"
14755,2020-06-01 00:26:56+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,24,,2020,"(3714913954, Timestamp('2020-06-01 00:26:56+0000', tz='UTC'))"
14754,2020-06-01 00:27:58+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,24.0,28,,2020,"(678194983, Timestamp('2020-06-01 00:27:58+0000', tz='UTC'))"
14753,2020-06-01 00:39:20+00:00,safecast:479911182,Solarcast #30007,479911182,34.483000000000004,136.16299999999998,19.253,77.00399999999999,4.0,6.0,7.0,46.0,49,3.697,2020,"(479911182, Timestamp('2020-06-01 00:39:20+0000', tz='UTC'))"
14752,2020-06-01 00:41:56+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,26,,2020,"(3714913954, Timestamp('2020-06-01 00:41:56+0000', tz='UTC'))"
14751,2020-06-01 00:42:02+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,26,,2020,"(3714913954, Timestamp('2020-06-01 00:42:02+0000', tz='UTC'))"
14750,2020-06-01 00:42:08+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,26,,2020,"(3714913954, Timestamp('2020-06-01 00:42:08+0000', tz='UTC'))"
14749,2020-06-01 00:42:14+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,26,,2020,"(3714913954, Timestamp('2020-06-01 00:42:14+0000', tz='UTC'))"
14748,2020-06-01 00:42:33+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,3.0,,,,2020,"(3714913954, Timestamp('2020-06-01 00:42:33+0000', tz='UTC'))"
14747,2020-06-01 00:42:51+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-06-01 00:42:51+0000', tz='UTC'))"
14746,2020-06-01 00:43:52+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,,,,2020,"(678194983, Timestamp('2020-06-01 00:43:52+0000', tz='UTC'))"
14745,2020-06-01 00:44:07+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,29.0,29,3.846,2020,"(678194983, Timestamp('2020-06-01 00:44:07+0000', tz='UTC'))"
14744,2020-06-01 00:56:56+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-06-01 00:56:56+0000', tz='UTC'))"
14743,2020-06-01 00:57:58+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,,,,29.0,31,,2020,"(678194983, Timestamp('2020-06-01 00:57:58+0000', tz='UTC'))"
14742,2020-06-01 01:01:59+00:00,safecast:3937710776,Solarcast #33002,3937710776,46.31399999999999,-119.345,,,,,,,33,,2020,"(3937710776, Timestamp('2020-06-01 01:01:59+0000', tz='UTC'))"
14741,2020-06-01 01:12:34+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,28.0,27,,2020,"(3714913954, Timestamp('2020-06-01 01:12:34+0000', tz='UTC'))"
14740,2020-06-01 01:12:45+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,3.0,,,,2020,"(3714913954, Timestamp('2020-06-01 01:12:45+0000', tz='UTC'))"
14738,2020-06-01 01:12:58+00:00,safecast:678194983,Solarcast #30030,678194983,46.555,15.636,,,1.0,2.0,2.0,,,,2020,"(678194983, Timestamp('2020-06-01 01:12:58+0000', tz='UTC'))"
